Player Name,Team,Minutes Played,Player Link
Drayton Jones,SOUTH CAROLINA STATE,608,https://www.espn.com/mens-college-basketball/player/_/id/5143607/drayton-jones
Omar Croskey,SOUTH CAROLINA STATE,601,https://www.espn.com/mens-college-basketball/player/_/id/5182338/omar-croskey
Davion Everett,SOUTH CAROLINA STATE,539,https://www.espn.com/mens-college-basketball/player/_/id/5113975/davion-everett
Mitchell Taylor,SOUTH CAROLINA STATE,492,https://www.espn.com/mens-college-basketball/player/_/id/5179095/mitchell-taylor
Wilson Dubinsky,SOUTH CAROLINA STATE,464,https://www.espn.com/mens-college-basketball/player/_/id/5179092/wilson-dubinsky
Michael Teal,SOUTH CAROLINA STATE,458,https://www.espn.com/mens-college-basketball/player/_/id/5179096/michael-teal
Colin McKenzie,SOUTH CAROLINA STATE,321,https://www.espn.com/mens-college-basketball/player/_/id/5106054/colin-mckenzie
Laquan Hunt,SOUTH CAROLINA STATE,19,https://www.espn.com/mens-college-basketball/player/_/id/5247550/laquan-hunt
Jayden Johnson,SOUTH CAROLINA STATE,358,https://www.espn.com/mens-college-basketball/player/_/id/5243405/jayden-johnson
Caleb McCarty,SOUTH CAROLINA STATE,355,https://www.espn.com/mens-college-basketball/player/_/id/5179093/caleb-mccarty
Florian Tenebay,SOUTH CAROLINA STATE,483,https://www.espn.com/mens-college-basketball/player/_/id/5243404/florian-tenebay
James Morrow,SOUTH CAROLINA STATE,272,https://www.espn.com/mens-college-basketball/player/_/id/5179094/james-morrow
Jamal Miles,SOUTH CAROLINA STATE,74,https://www.espn.com/mens-college-basketball/player/_/id/5243407/jamal-miles
D'Shay Wright,SOUTH CAROLINA STATE,133,https://www.espn.com/mens-college-basketball/player/_/id/5243409/dshay-wright
John Seay-Oliver,SOUTH CAROLINA STATE,45,https://www.espn.com/mens-college-basketball/player/_/id/5192847/john-seay-oliver
Roko Maric,SOUTH CAROLINA STATE,26,https://www.espn.com/mens-college-basketball/player/_/id/5243408/roko-maric
