Player Name,Team,Minutes Played,Player Link
Mister Dean,SOUTH CAROLINA UPSTATE,658,https://www.espn.com/mens-college-basketball/player/_/id/5241746/mister-dean
Karmani Gregory,SOUTH CAROLINA UPSTATE,887,https://www.espn.com/mens-college-basketball/player/_/id/5241748/karmani-gregory
Brit Harris,SOUTH CAROLINA UPSTATE,651,https://www.espn.com/mens-college-basketball/player/_/id/5241745/brit-harris
Carmelo Adkins,SOUTH CAROLINA UPSTATE,848,https://www.espn.com/mens-college-basketball/player/_/id/5183294/carmelo-adkins
Breylin Garcia,SOUTH CAROLINA UPSTATE,429,https://www.espn.com/mens-college-basketball/player/_/id/5241749/breylin-garcia
Kanye Jones,SOUTH CAROLINA UPSTATE,44,https://www.espn.com/mens-college-basketball/player/_/id/5108759/kanye-jones
Andrew McConnell,SOUTH CAROLINA UPSTATE,469,https://www.espn.com/mens-college-basketball/player/_/id/4897705/andrew-mcconnell
Chico Johnson,SOUTH CAROLINA UPSTATE,552,https://www.espn.com/mens-college-basketball/player/_/id/4845362/chico-johnson
Isaiah Skinner,SOUTH CAROLINA UPSTATE,452,https://www.espn.com/mens-college-basketball/player/_/id/5241744/isaiah-skinner
Nic Book,SOUTH CAROLINA UPSTATE,429,https://www.espn.com/mens-college-basketball/player/_/id/5241747/nic-book
Daniel Helterhoff,SOUTH CAROLINA UPSTATE,333,https://www.espn.com/mens-college-basketball/player/_/id/5116517/daniel-helterhoff
CJ Rich,SOUTH CAROLINA UPSTATE,49,https://www.espn.com/mens-college-basketball/player/_/id/5176345/cj-rich
