Player Name,Team,Minutes Played,Player Link
Collin Murray-Boyles,SOUTH CAROLINA,828,https://www.espn.com/mens-college-basketball/player/_/id/5093267/collin-murray-boyles
Jamarii Thomas,SOUTH CAROLINA,699,https://www.espn.com/mens-college-basketball/player/_/id/4897713/jamarii-thomas
Nick Pringle,SOUTH CAROLINA,661,https://www.espn.com/mens-college-basketball/player/_/id/4703887/nick-pringle
Zachary Davis,SOUTH CAROLINA,717,https://www.espn.com/mens-college-basketball/player/_/id/5105548/zachary-davis
Jacobi Wright,SOUTH CAROLINA,769,https://www.espn.com/mens-college-basketball/player/_/id/4683836/jacobi-wright
Morris Ugusuk,SOUTH CAROLINA,601,https://www.espn.com/mens-college-basketball/player/_/id/5174294/morris-ugusuk
Myles Stute,SOUTH CAROLINA,350,https://www.espn.com/mens-college-basketball/player/_/id/4433340/myles-stute
Arden Conyers,SOUTH CAROLINA,256,https://www.espn.com/mens-college-basketball/player/_/id/5093265/arden-conyers
Cam Scott,SOUTH CAROLINA,240,https://www.espn.com/mens-college-basketball/player/_/id/4869784/cam-scott
Jordan Butler,SOUTH CAROLINA,127,https://www.espn.com/mens-college-basketball/player/_/id/4683763/jordan-butler
Benjamin Bosmans-Verdonk,SOUTH CAROLINA,190,https://www.espn.com/mens-college-basketball/player/_/id/4592607/benjamin-bosmans-verdonk
Austin Herro,SOUTH CAROLINA,10,https://www.espn.com/mens-college-basketball/player/_/id/4685653/austin-herro
Weston Coggeshall,SOUTH CAROLINA,1,https://www.espn.com/mens-college-basketball/player/_/id/5238225/weston-coggeshall
