Player Name,Team,Minutes Played,Player Link
Oscar Cluff,SOUTH DAKOTA STATE,710,https://www.espn.com/mens-college-basketball/player/_/id/5174973/oscar-cluff
Joe Sayler,SOUTH DAKOTA STATE,778,https://www.espn.com/mens-college-basketball/player/_/id/5177048/joe-sayler
Kalen Garry,SOUTH DAKOTA STATE,769,https://www.espn.com/mens-college-basketball/player/_/id/5107255/kalen-garry
Owen Larson,SOUTH DAKOTA STATE,819,https://www.espn.com/mens-college-basketball/player/_/id/5241452/owen-larson
Matthew Mors,SOUTH DAKOTA STATE,727,https://www.espn.com/mens-college-basketball/player/_/id/4590359/matthew-mors
Stoney Hadnot,SOUTH DAKOTA STATE,467,https://www.espn.com/mens-college-basketball/player/_/id/5241453/stoney-hadnot
Jaden Jackson,SOUTH DAKOTA STATE,426,https://www.espn.com/mens-college-basketball/player/_/id/5241454/jaden-jackson
Damon Wilkinson,SOUTH DAKOTA STATE,236,https://www.espn.com/mens-college-basketball/player/_/id/5177051/damon-wilkinson
Isaac Lindsey,SOUTH DAKOTA STATE,322,https://www.espn.com/mens-college-basketball/player/_/id/4703389/isaac-lindsey
William Whorton,SOUTH DAKOTA STATE,190,https://www.espn.com/mens-college-basketball/player/_/id/5177047/william-whorton
Nate Barnhart,SOUTH DAKOTA STATE,157,https://www.espn.com/mens-college-basketball/player/_/id/4897549/nate-barnhart
