Player Name,Team,Minutes Played,Player Link
Chase Forte,SOUTH DAKOTA,773,https://www.espn.com/mens-college-basketball/player/_/id/4706918/chase-forte
Isaac Bruns,SOUTH DAKOTA,674,https://www.espn.com/mens-college-basketball/player/_/id/5177042/isaac-bruns
Dre Bullock,SOUTH DAKOTA,591,https://www.espn.com/mens-college-basketball/player/_/id/5106877/dre-bullock
Kaleb Stewart,SOUTH DAKOTA,645,https://www.espn.com/mens-college-basketball/player/_/id/4897498/kaleb-stewart
Cameron Fens,SOUTH DAKOTA,350,https://www.espn.com/mens-college-basketball/player/_/id/5107880/cameron-fens
Paul Bruns,SOUTH DAKOTA,744,https://www.espn.com/mens-college-basketball/player/_/id/4897282/paul-bruns
Ashton Smith,SOUTH DAKOTA,435,https://www.espn.com/mens-college-basketball/player/_/id/4701266/ashton-smith
Shey Eberwein,SOUTH DAKOTA,457,https://www.espn.com/mens-college-basketball/player/_/id/5177041/shey-eberwein
Max Burchill,SOUTH DAKOTA,603,https://www.espn.com/mens-college-basketball/player/_/id/4702649/max-burchill
Mayuom Buom,SOUTH DAKOTA,264,https://www.espn.com/mens-college-basketball/player/_/id/4711108/mayuom-buom
Jalen Hayes,SOUTH DAKOTA,29,https://www.espn.com/mens-college-basketball/player/_/id/5177045/jalen-hayes
Jake Brack,SOUTH DAKOTA,140,https://www.espn.com/mens-college-basketball/player/_/id/5177043/jake-brack
Jevon Hill,SOUTH DAKOTA,96,https://www.espn.com/mens-college-basketball/player/_/id/5108951/jevon-hill
