Player Name,Team,Minutes Played,Player Link
Jamille Reynolds,SOUTH FLORIDA,606,https://www.espn.com/mens-college-basketball/player/_/id/4432407/jamille-reynolds
Jayden Reid,SOUTH FLORIDA,749,https://www.espn.com/mens-college-basketball/player/_/id/4895746/jayden-reid
Kobe Knox,SOUTH FLORIDA,692,https://www.espn.com/mens-college-basketball/player/_/id/4896884/kobe-knox
Brandon Stroud,SOUTH FLORIDA,608,https://www.espn.com/mens-college-basketball/player/_/id/4433177/brandon-stroud
Jimmie Williams,SOUTH FLORIDA,463,https://www.espn.com/mens-college-basketball/player/_/id/5240353/jimmie-williams
Kasen Jennings,SOUTH FLORIDA,691,https://www.espn.com/mens-college-basketball/player/_/id/4700841/kasen-jennings
CJ Brown,SOUTH FLORIDA,574,https://www.espn.com/mens-college-basketball/player/_/id/5183925/cj-brown
Quincy Ademokoya,SOUTH FLORIDA,584,https://www.espn.com/mens-college-basketball/player/_/id/4602022/quincy-ademokoya
De'Ante Green,SOUTH FLORIDA,319,https://www.espn.com/mens-college-basketball/player/_/id/4684795/deante-green
Kameren Wright,SOUTH FLORIDA,82,https://www.espn.com/mens-college-basketball/player/_/id/5144120/kameren-wright
Corey Walker Jr.,SOUTH FLORIDA,66,https://www.espn.com/mens-college-basketball/player/_/id/4290822/corey-walker-jr
Daniel Tobiloba,SOUTH FLORIDA,16,https://www.espn.com/mens-college-basketball/player/_/id/5175833/daniel-tobiloba
