Player Name,Team,Minutes Played,Player Link
Teddy Washington Jr.,SOUTHEAST MISSOURI STATE,912,https://www.espn.com/mens-college-basketball/player/_/id/5176712/teddy-washington-jr
Rob Martin,SOUTHEAST MISSOURI STATE,893,https://www.espn.com/mens-college-basketball/player/_/id/5107904/rob-martin
Brendan Terry,SOUTHEAST MISSOURI STATE,679,https://www.espn.com/mens-college-basketball/player/_/id/5242974/brendan-terry
Braxton Stacker,SOUTHEAST MISSOURI STATE,494,https://www.espn.com/mens-college-basketball/player/_/id/5107891/braxton-stacker
BJ Ward,SOUTHEAST MISSOURI STATE,829,https://www.espn.com/mens-college-basketball/player/_/id/5177367/bj-ward
Troy Cole Jr.,SOUTHEAST MISSOURI STATE,535,https://www.espn.com/mens-college-basketball/player/_/id/5242973/troy-cole-jr
TJ Biel,SOUTHEAST MISSOURI STATE,382,https://www.espn.com/mens-college-basketball/player/_/id/5177368/tj-biel
Damarion Walkup,SOUTHEAST MISSOURI STATE,283,https://www.espn.com/mens-college-basketball/player/_/id/5242972/damarion-walkup
Marqueas Bell,SOUTHEAST MISSOURI STATE,191,https://www.espn.com/mens-college-basketball/player/_/id/5177370/marqueas-bell
Elliot Lowndes,SOUTHEAST MISSOURI STATE,270,https://www.espn.com/mens-college-basketball/player/_/id/5242977/elliot-lowndes
David Idada,SOUTHEAST MISSOURI STATE,263,https://www.espn.com/mens-college-basketball/player/_/id/5107642/david-idada
Mason Hanback,SOUTHEAST MISSOURI STATE,51,https://www.espn.com/mens-college-basketball/player/_/id/5107646/mason-hanback
Saxton Hoepker,SOUTHEAST MISSOURI STATE,69,https://www.espn.com/mens-college-basketball/player/_/id/5242975/saxton-hoepker
