Player Name,Team,Minutes Played,Player Link
Ali Dibba,SOUTHERN ILLINOIS,975,https://www.espn.com/mens-college-basketball/player/_/id/4896862/ali-dibba
Kennard Davis Jr.,SOUTHERN ILLINOIS,952,https://www.espn.com/mens-college-basketball/player/_/id/4685654/kennard-davis-jr
Elijah Elliott,SOUTHERN ILLINOIS,132,https://www.espn.com/mens-college-basketball/player/_/id/4897978/elijah-elliott
Jarrett Hensley,SOUTHERN ILLINOIS,716,https://www.espn.com/mens-college-basketball/player/_/id/4703828/jarrett-hensley
Drew Steffe,SOUTHERN ILLINOIS,726,https://www.espn.com/mens-college-basketball/player/_/id/4711281/drew-steffe
Damien Mayo Jr.,SOUTHERN ILLINOIS,678,https://www.espn.com/mens-college-basketball/player/_/id/5107899/damien-mayo-jr
Sheridan Sharp,SOUTHERN ILLINOIS,445,https://www.espn.com/mens-college-basketball/player/_/id/5176388/sheridan-sharp
Davion Sykes,SOUTHERN ILLINOIS,442,https://www.espn.com/mens-college-basketball/player/_/id/5106452/davion-sykes
Antwaun Massey,SOUTHERN ILLINOIS,282,https://www.espn.com/mens-college-basketball/player/_/id/5241420/antwaun-massey
Rolyns Aligbe,SOUTHERN ILLINOIS,333,https://www.espn.com/mens-college-basketball/player/_/id/5241417/rolyns-aligbe
Jorge Moreno,SOUTHERN ILLINOIS,166,https://www.espn.com/mens-college-basketball/player/_/id/5241419/jorge-moreno
