Player Name,Team,Minutes Played,Player Link
Damoni Harrison,SOUTHERN INDIANA,909,https://www.espn.com/mens-college-basketball/player/_/id/5242980/damoni-harrison
Jayland Randall,SOUTHERN INDIANA,721,https://www.espn.com/mens-college-basketball/player/_/id/5107453/jayland-randall
Stephen Olowoniyi,SOUTHERN INDIANA,751,https://www.espn.com/mens-college-basketball/player/_/id/5176335/stephen-olowoniyi
Jared Washington,SOUTHERN INDIANA,180,https://www.espn.com/mens-college-basketball/player/_/id/5242981/jared-washington
Jack Mielke,SOUTHERN INDIANA,894,https://www.espn.com/mens-college-basketball/player/_/id/5107625/jack-mielke
Braxton Jones,SOUTHERN INDIANA,354,https://www.espn.com/mens-college-basketball/player/_/id/5108706/braxton-jones
Sam Kodi,SOUTHERN INDIANA,363,https://www.espn.com/mens-college-basketball/player/_/id/5242979/sam-kodi
Jack Campion,SOUTHERN INDIANA,575,https://www.espn.com/mens-college-basketball/player/_/id/5107627/jack-campion
Ryan Hall,SOUTHERN INDIANA,89,https://www.espn.com/mens-college-basketball/player/_/id/5107624/ryan-hall
Josiah Dunham,SOUTHERN INDIANA,428,https://www.espn.com/mens-college-basketball/player/_/id/5242982/josiah-dunham
Alex Horiuk,SOUTHERN INDIANA,162,https://www.espn.com/mens-college-basketball/player/_/id/5105484/alex-horiuk
Jadyn Shider,SOUTHERN INDIANA,122,https://www.espn.com/mens-college-basketball/player/_/id/5242978/jadyn-shider
Luther Smith Jr.,SOUTHERN INDIANA,29,https://www.espn.com/mens-college-basketball/player/_/id/5177374/luther-smith-jr
Cayden Gehlhausen,SOUTHERN INDIANA,16,https://www.espn.com/mens-college-basketball/player/_/id/5242983/cayden-gehlhausen
Luke Davis,SOUTHERN INDIANA,15,https://www.espn.com/mens-college-basketball/player/_/id/5242984/luke-davis
Sam Mervis,SOUTHERN INDIANA,67,https://www.espn.com/mens-college-basketball/player/_/id/4703908/sam-mervis
