Player Name,Team,Minutes Played,Player Link
Denijay Harris,SOUTHERN MISS,967,https://www.espn.com/mens-college-basketball/player/_/id/4593268/denijay-harris
Neftali Alvarez,SOUTHERN MISS,784,https://www.espn.com/mens-college-basketball/player/_/id/4398075/neftali-alvarez
Andre Curbelo,SOUTHERN MISS,486,https://www.espn.com/mens-college-basketball/player/_/id/4432195/andre-curbelo
DeAntoni Gordon,SOUTHERN MISS,759,https://www.espn.com/mens-college-basketball/player/_/id/4431789/deantoni-gordon
Cobie Montgomery,SOUTHERN MISS,669,https://www.espn.com/mens-college-basketball/player/_/id/5106454/cobie-montgomery
Christian Watson,SOUTHERN MISS,840,https://www.espn.com/mens-college-basketball/player/_/id/4684735/christian-watson
Alfred Worrell Jr.,SOUTHERN MISS,354,https://www.espn.com/mens-college-basketball/player/_/id/5240664/alfred-worrell-jr
John Wade III,SOUTHERN MISS,148,https://www.espn.com/mens-college-basketball/player/_/id/5108096/john-wade-iii
Jett Montgomery,SOUTHERN MISS,122,https://www.espn.com/mens-college-basketball/player/_/id/5240666/jett-montgomery
Tegra Izay,SOUTHERN MISS,38,https://www.espn.com/mens-college-basketball/player/_/id/4700971/tegra-izay
Lieb Yat,SOUTHERN MISS,18,https://www.espn.com/mens-college-basketball/player/_/id/5176717/lieb-yat
Christian Reid,SOUTHERN MISS,263,https://www.espn.com/mens-college-basketball/player/_/id/5240667/christian-reid
Jose Benitez,SOUTHERN MISS,83,https://www.espn.com/mens-college-basketball/player/_/id/5176715/jose-benitez
Brewer Carruth,SOUTHERN MISS,146,https://www.espn.com/mens-college-basketball/player/_/id/5240665/brewer-carruth
Trey Alfonso,SOUTHERN MISS,19,https://www.espn.com/mens-college-basketball/player/_/id/4897559/trey-alfonso
Jeffery Armstrong,SOUTHERN MISS,154,https://www.espn.com/mens-college-basketball/player/_/id/4593269/jeffery-armstrong
