Player Name,Team,Minutes Played,Player Link
Jamir Simpson,SOUTHERN UTAH,864,https://www.espn.com/mens-college-basketball/player/_/id/5111919/jamir-simpson
Dominique Ford,SOUTHERN UTAH,572,https://www.espn.com/mens-college-basketball/player/_/id/5107819/dominique-ford
Tavi Jackson,SOUTHERN UTAH,524,https://www.espn.com/mens-college-basketball/player/_/id/5107562/tavi-jackson
Hercy Miller,SOUTHERN UTAH,410,https://www.espn.com/mens-college-basketball/player/_/id/4709140/hercy-miller
Jamari Sibley,SOUTHERN UTAH,511,https://www.espn.com/mens-college-basketball/player/_/id/4433168/jamari-sibley
Jeffrey Langston Jr.,SOUTHERN UTAH,418,https://www.espn.com/mens-college-basketball/player/_/id/5177146/jeffrey-langston-jr
Brock Felder,SOUTHERN UTAH,622,https://www.espn.com/mens-college-basketball/player/_/id/5177725/brock-felder
Shawn Mitchell,SOUTHERN UTAH,16,https://www.espn.com/mens-college-basketball/player/_/id/5241355/shawn-mitchell
Mason Johnson,SOUTHERN UTAH,37,https://www.espn.com/mens-college-basketball/player/_/id/5177720/mason-johnson
Cade Brazier,SOUTHERN UTAH,29,https://www.espn.com/mens-college-basketball/player/_/id/5195355/cade-brazier
Xavier Sykes,SOUTHERN UTAH,169,https://www.espn.com/mens-college-basketball/player/_/id/5241356/xavier-sykes
Duncan Reid,SOUTHERN UTAH,186,https://www.espn.com/mens-college-basketball/player/_/id/5177723/duncan-reid
Lorenzo Abellar,SOUTHERN UTAH,341,https://www.espn.com/mens-college-basketball/player/_/id/5241350/lorenzo-abellar
Kai Burdick,SOUTHERN UTAH,162,https://www.espn.com/mens-college-basketball/player/_/id/5241352/kai-burdick
Malik Lamin,SOUTHERN UTAH,262,https://www.espn.com/mens-college-basketball/player/_/id/4897848/malik-lamin
Tainui Taiaroa,SOUTHERN UTAH,28,https://www.espn.com/mens-college-basketball/player/_/id/5177721/tainui-taiaroa
Robert Jeter,SOUTHERN UTAH,242,https://www.espn.com/mens-college-basketball/player/_/id/4702621/robert-jeter
Peter Dadson Jr.,SOUTHERN UTAH,7,https://www.espn.com/mens-college-basketball/player/_/id/5114448/peter-dadson-jr
