Player Name,Team,Minutes Played,Player Link
Melvin Council Jr.,ST. BONAVENTURE,1026,https://www.espn.com/mens-college-basketball/player/_/id/5177301/melvin-council-jr
Chance Moore,ST. BONAVENTURE,877,https://www.espn.com/mens-college-basketball/player/_/id/4433596/chance-moore
Noel Brown,ST. BONAVENTURE,865,https://www.espn.com/mens-college-basketball/player/_/id/4700963/noel-brown
Dasonte Bowen,ST. BONAVENTURE,311,https://www.espn.com/mens-college-basketball/player/_/id/5105801/dasonte-bowen
Lajae Jones,ST. BONAVENTURE,906,https://www.espn.com/mens-college-basketball/player/_/id/5108969/lajae-jones
Jonah Hinton,ST. BONAVENTURE,771,https://www.espn.com/mens-college-basketball/player/_/id/5239711/jonah-hinton
Duane Thompson,ST. BONAVENTURE,199,https://www.espn.com/mens-college-basketball/player/_/id/5174670/duane-thompson
Noah Bolanga,ST. BONAVENTURE,341,https://www.espn.com/mens-college-basketball/player/_/id/5245765/noah-bolanga
Xander Wedlow,ST. BONAVENTURE,170,https://www.espn.com/mens-college-basketball/player/_/id/5239712/xander-wedlow
Michael Folarin,ST. BONAVENTURE,77,https://www.espn.com/mens-college-basketball/player/_/id/4897854/michael-folarin
Jaxon Edwards,ST. BONAVENTURE,35,https://www.espn.com/mens-college-basketball/player/_/id/5107890/jaxon-edwards
Miles Rose,ST. BONAVENTURE,46,https://www.espn.com/mens-college-basketball/player/_/id/5174669/miles-rose
