Player Name,Team,Minutes Played,Player Link
Tedrick Wilcox,ST. FRANCIS BROOKLYN,819,https://www.espn.com/mens-college-basketball/player/_/id/4897958/tedrick-wilcox
Rob Higgins,ST. FRANCIS BROOKLYN,439,https://www.espn.com/mens-college-basketball/player/_/id/4593104/rob-higgins
Zion Bethea,ST. FRANCIS BROOKLYN,633,https://www.espn.com/mens-college-basketball/player/_/id/4433577/zion-bethea
Josiah Harris,ST. FRANCIS BROOKLYN,728,https://www.espn.com/mens-college-basketball/player/_/id/5106607/josiah-harris
Larry Moreno,ST. FRANCIS BROOKLYN,481,https://www.espn.com/mens-college-basketball/player/_/id/4398007/larry-moreno
Di'Andre Howell-South,ST. FRANCIS BROOKLYN,727,https://www.espn.com/mens-college-basketball/player/_/id/4897959/diandre-howell-south
Roy Clarke,ST. FRANCIS BROOKLYN,764,https://www.espn.com/mens-college-basketball/player/_/id/5113487/roy-clarke
Max Egner,ST. FRANCIS BROOKLYN,42,https://www.espn.com/mens-college-basketball/player/_/id/4897961/max-egner
Syrus Grisby,ST. FRANCIS BROOKLYN,578,https://www.espn.com/mens-college-basketball/player/_/id/5106606/syrus-grisby
Trey Quartlebaum,ST. FRANCIS BROOKLYN,401,https://www.espn.com/mens-college-basketball/player/_/id/4433061/trey-quartlebaum
Nuha Sagnia,ST. FRANCIS BROOKLYN,228,https://www.espn.com/mens-college-basketball/player/_/id/5106609/nuha-sagnia
Michael Myrie,ST. FRANCIS BROOKLYN,154,https://www.espn.com/mens-college-basketball/player/_/id/5106608/michael-myrie
Matthew Gonzalez,ST. FRANCIS BROOKLYN,19,https://www.espn.com/mens-college-basketball/player/_/id/4897964/matthew-gonzalez
Michael Parrotta,ST. FRANCIS BROOKLYN,12,https://www.espn.com/mens-college-basketball/player/_/id/4897963/michael-parrotta
