Player Name,Team,Minutes Played,Player Link
RJ Luis Jr.,ST. JOHN'S,805,https://www.espn.com/mens-college-basketball/player/_/id/5106035/rj-luis-jr
Zuby Ejiofor,ST. JOHN'S,847,https://www.espn.com/mens-college-basketball/player/_/id/5106262/zuby-ejiofor
Kadary Richmond,ST. JOHN'S,884,https://www.espn.com/mens-college-basketball/player/_/id/4701845/kadary-richmond
Deivon Smith,ST. JOHN'S,601,https://www.espn.com/mens-college-basketball/player/_/id/4433184/deivon-smith
Simeon Wilcher,ST. JOHN'S,708,https://www.espn.com/mens-college-basketball/player/_/id/4683785/simeon-wilcher
Aaron Scott,ST. JOHN'S,734,https://www.espn.com/mens-college-basketball/player/_/id/4897517/aaron-scott
Brady Dunlap,ST. JOHN'S,165,https://www.espn.com/mens-college-basketball/player/_/id/4685659/brady-dunlap
Vince Iwuchukwu,ST. JOHN'S,184,https://www.espn.com/mens-college-basketball/player/_/id/5105641/vince-iwuchukwu
Jaiden Glover,ST. JOHN'S,140,https://www.espn.com/mens-college-basketball/player/_/id/5142608/jaiden-glover
Sadiku Ibine Ayo,ST. JOHN'S,145,https://www.espn.com/mens-college-basketball/player/_/id/5107197/sadiku-ibine-ayo
Ruben Prey,ST. JOHN'S,199,https://www.espn.com/mens-college-basketball/player/_/id/5240539/ruben-prey
Lefteris Liotopoulos,ST. JOHN'S,59,https://www.espn.com/mens-college-basketball/player/_/id/5145712/lefteris-liotopoulos
Khaman Maker,ST. JOHN'S,2,https://www.espn.com/mens-college-basketball/player/_/id/4873206/khaman-maker
