Player Name,Team,Minutes Played,Player Link
Maxime Raynaud,STANFORD,910,https://www.espn.com/mens-college-basketball/player/_/id/4898371/maxime-raynaud
Oziyah Sellers,STANFORD,887,https://www.espn.com/mens-college-basketball/player/_/id/5105642/oziyah-sellers
Jaylen Blakes,STANFORD,752,https://www.espn.com/mens-college-basketball/player/_/id/4683735/jaylen-blakes
Ryan Agarwal,STANFORD,723,https://www.espn.com/mens-college-basketball/player/_/id/5105632/ryan-agarwal
Chisom Okpara,STANFORD,415,https://www.espn.com/mens-college-basketball/player/_/id/4684745/chisom-okpara
Benny Gealer,STANFORD,479,https://www.espn.com/mens-college-basketball/player/_/id/5105633/benny-gealer
Donavin Young,STANFORD,257,https://www.espn.com/mens-college-basketball/player/_/id/5214644/donavin-young
Evan Stinson,STANFORD,174,https://www.espn.com/mens-college-basketball/player/_/id/5164370/evan-stinson
Aidan Cammann,STANFORD,454,https://www.espn.com/mens-college-basketball/player/_/id/5175009/aidan-cammann
Cameron Grant,STANFORD,48,https://www.espn.com/mens-college-basketball/player/_/id/5175008/cameron-grant
Jaylen Thompson,STANFORD,84,https://www.espn.com/mens-college-basketball/player/_/id/5105634/jaylen-thompson
Tallis Toure,STANFORD,82,https://www.espn.com/mens-college-basketball/player/_/id/5152726/tallis-toure
Anthony Batson Jr.,STANFORD,101,https://www.espn.com/mens-college-basketball/player/_/id/5183923/anthony-batson-jr
Derin Saran,STANFORD,19,https://www.espn.com/mens-college-basketball/player/_/id/5176395/derin-saran
Cole Kastner,STANFORD,15,https://www.espn.com/mens-college-basketball/player/_/id/5238185/cole-kastner
