Player Name,Team,Minutes Played,Player Link
Mehki Ellison,STETSON,838,https://www.espn.com/mens-college-basketball/player/_/id/5240017/mehki-ellison
Jordan Wood,STETSON,780,https://www.espn.com/mens-college-basketball/player/_/id/4704048/jordan-wood
Josh Massey,STETSON,735,https://www.espn.com/mens-college-basketball/player/_/id/4585594/josh-massey
Jamie Phillips Jr.,STETSON,650,https://www.espn.com/mens-college-basketball/player/_/id/5240016/jamie-phillips-jr
Abramo Canka,STETSON,675,https://www.espn.com/mens-college-basketball/player/_/id/5105635/abramo-canka
Tristan Gross,STETSON,512,https://www.espn.com/mens-college-basketball/player/_/id/4845379/tristan-gross
Treyton Thompson,STETSON,355,https://www.espn.com/mens-college-basketball/player/_/id/4610141/treyton-thompson
Daniel Macgregor,STETSON,204,https://www.espn.com/mens-college-basketball/player/_/id/5240018/daniel-macgregor
Stefano Alesso,STETSON,131,https://www.espn.com/mens-college-basketball/player/_/id/5240021/stefano-alesso
Finley Sheridan,STETSON,300,https://www.espn.com/mens-college-basketball/player/_/id/5177678/finley-sheridan
Blaize Sagna,STETSON,401,https://www.espn.com/mens-college-basketball/player/_/id/5240019/blaize-sagna
Alex Doyle,STETSON,179,https://www.espn.com/mens-college-basketball/player/_/id/5177677/alex-doyle
Andrew Taylor,STETSON,37,https://www.espn.com/mens-college-basketball/player/_/id/5261786/andrew-taylor
Landen Babusiak,STETSON,55,https://www.espn.com/mens-college-basketball/player/_/id/5177680/landen-babusiak
