Player Name,Team,Minutes Played,Player Link
Todd Brogna,STONEHILL,776,https://www.espn.com/mens-college-basketball/player/_/id/5177298/todd-brogna
Josh Morgan,STONEHILL,461,https://www.espn.com/mens-college-basketball/player/_/id/4703621/josh-morgan
Louie Semona,STONEHILL,780,https://www.espn.com/mens-college-basketball/player/_/id/5177297/louie-semona
Hermann Koffi,STONEHILL,925,https://www.espn.com/mens-college-basketball/player/_/id/5242407/hermann-koffi
Chas Stinson,STONEHILL,820,https://www.espn.com/mens-college-basketball/player/_/id/5106620/chas-stinson
Ethan Meuser,STONEHILL,583,https://www.espn.com/mens-college-basketball/player/_/id/5106628/ethan-meuser
Amir Nesbitt,STONEHILL,617,https://www.espn.com/mens-college-basketball/player/_/id/4703820/amir-nesbitt
Christopher Melis,STONEHILL,307,https://www.espn.com/mens-college-basketball/player/_/id/5106626/christopher-melis
Alex Bates IV,STONEHILL,207,https://www.espn.com/mens-college-basketball/player/_/id/5177100/alex-bates-iv
Pearse McGuinn,STONEHILL,81,https://www.espn.com/mens-college-basketball/player/_/id/5242410/pearse-mcguinn
Nathan McGill,STONEHILL,155,https://www.espn.com/mens-college-basketball/player/_/id/5106624/nathan-mcgill
Kesean Shillingford,STONEHILL,22,https://www.espn.com/mens-college-basketball/player/_/id/5242411/kesean-shillingford
Neal Marquardt,STONEHILL,41,https://www.espn.com/mens-college-basketball/player/_/id/5106629/neal-marquardt
Charlie Diamantis,STONEHILL,12,https://www.espn.com/mens-college-basketball/player/_/id/5182714/charlie-diamantis
Jake TenBerge,STONEHILL,11,https://www.espn.com/mens-college-basketball/player/_/id/5242409/jake-tenberge
