Player Name,Team,Minutes Played,Player Link
J.J. Starling,SYRACUSE,689,https://www.espn.com/mens-college-basketball/player/_/id/4683697/jj-starling
Donnie Freeman,SYRACUSE,355,https://www.espn.com/mens-college-basketball/player/_/id/4873145/donnie-freeman
Eddie Lampkin Jr.,SYRACUSE,800,https://www.espn.com/mens-college-basketball/player/_/id/4433191/eddie-lampkin-jr
Chris Bell,SYRACUSE,600,https://www.espn.com/mens-college-basketball/player/_/id/4684627/chris-bell
Jyare Davis,SYRACUSE,625,https://www.espn.com/mens-college-basketball/player/_/id/4701989/jyare-davis
Jaquan Carlos,SYRACUSE,731,https://www.espn.com/mens-college-basketball/player/_/id/4683855/jaquan-carlos
Lucas Taylor,SYRACUSE,594,https://www.espn.com/mens-college-basketball/player/_/id/4698717/lucas-taylor
Elijah Moore,SYRACUSE,407,https://www.espn.com/mens-college-basketball/player/_/id/5074087/elijah-moore
Kyle Cuffe Jr.,SYRACUSE,291,https://www.espn.com/mens-college-basketball/player/_/id/4816087/kyle-cuffe-jr
Petar Majstorovic,SYRACUSE,351,https://www.espn.com/mens-college-basketball/player/_/id/5238187/petar-majstorovic
Naheem McLeod,SYRACUSE,68,https://www.espn.com/mens-college-basketball/player/_/id/4897004/naheem-mcleod
Chance Westry,SYRACUSE,11,https://www.espn.com/mens-college-basketball/player/_/id/4683680/chance-westry
