Player Name,Team,Minutes Played,Player Link
Jamal Mashburn Jr.,TEMPLE,828,https://www.espn.com/mens-college-basketball/player/_/id/4432408/jamal-mashburn-jr
Steve Settle III,TEMPLE,891,https://www.espn.com/mens-college-basketball/player/_/id/4704043/steve-settle-iii
Zion Stanford,TEMPLE,673,https://www.espn.com/mens-college-basketball/player/_/id/5175067/zion-stanford
Quante Berry,TEMPLE,801,https://www.espn.com/mens-college-basketball/player/_/id/5105618/quante-berry
Elijah Gray,TEMPLE,387,https://www.espn.com/mens-college-basketball/player/_/id/5105894/elijah-gray
Shane Dezonie,TEMPLE,580,https://www.espn.com/mens-college-basketball/player/_/id/4683732/shane-dezonie
Jameel Brown,TEMPLE,126,https://www.espn.com/mens-college-basketball/player/_/id/5105846/jameel-brown
Babatunde Durodola,TEMPLE,431,https://www.espn.com/mens-college-basketball/player/_/id/5240368/babatunde-durodola
Aiden Tobiason,TEMPLE,419,https://www.espn.com/mens-college-basketball/player/_/id/5240369/aiden-tobiason
Lynn Greer III,TEMPLE,74,https://www.espn.com/mens-college-basketball/player/_/id/4433175/lynn-greer-iii
Dillon Battie,TEMPLE,108,https://www.espn.com/mens-college-basketball/player/_/id/5181250/dillon-battie
Matteo Picarelli,TEMPLE,158,https://www.espn.com/mens-college-basketball/player/_/id/5175068/matteo-picarelli
Holden Pierre-Louis,TEMPLE,3,https://www.espn.com/mens-college-basketball/player/_/id/5240370/holden-pierre-louis
Mohamed Keita,TEMPLE,61,https://www.espn.com/mens-college-basketball/player/_/id/5105605/mohamed-keita
Christian Tomasco,TEMPLE,5,https://www.espn.com/mens-college-basketball/player/_/id/4897702/christian-tomasco
Connor Gal,TEMPLE,5,https://www.espn.com/mens-college-basketball/player/_/id/5113363/connor-gal
