Player Name,Team,Minutes Played,Player Link
Brandon Weston,TENNESSEE STATE,766,https://www.espn.com/mens-college-basketball/player/_/id/4577803/brandon-weston
Aaron Nkrumah,TENNESSEE STATE,839,https://www.espn.com/mens-college-basketball/player/_/id/5182573/aaron-nkrumah
Carlous Williams,TENNESSEE STATE,742,https://www.espn.com/mens-college-basketball/player/_/id/5175727/carlous-williams
Travis Harper II,TENNESSEE STATE,532,https://www.espn.com/mens-college-basketball/player/_/id/5242985/travis-harper-ii
Ronald Jessamy,TENNESSEE STATE,417,https://www.espn.com/mens-college-basketball/player/_/id/4895782/ronald-jessamy
Justus Jackson,TENNESSEE STATE,777,https://www.espn.com/mens-college-basketball/player/_/id/4912957/justus-jackson
Josh Ogundele,TENNESSEE STATE,419,https://www.espn.com/mens-college-basketball/player/_/id/4433231/josh-ogundele
Knute Wood,TENNESSEE STATE,475,https://www.espn.com/mens-college-basketball/player/_/id/5108807/knute-wood
Antoine Lorick III,TENNESSEE STATE,322,https://www.espn.com/mens-college-basketball/player/_/id/5242989/antoine-lorick-iii
Ahmir Langlais,TENNESSEE STATE,259,https://www.espn.com/mens-college-basketball/player/_/id/4593724/ahmir-langlais
Blake Fleming,TENNESSEE STATE,32,https://www.espn.com/mens-college-basketball/player/_/id/5242988/blake-fleming
JC Brooks,TENNESSEE STATE,122,https://www.espn.com/mens-college-basketball/player/_/id/5242986/jc-brooks
Louis Daoust,TENNESSEE STATE,100,https://www.espn.com/mens-college-basketball/player/_/id/5242990/louis-daoust
Maddux Bodenhamer,TENNESSEE STATE,144,https://www.espn.com/mens-college-basketball/player/_/id/5242987/maddux-bodenhamer
Kavien Jones,TENNESSEE STATE,1,https://www.espn.com/mens-college-basketball/player/_/id/5242991/kavien-jones
