Player Name,Team,Minutes Played,Player Link
Rodney Johnson Jr.,TENNESSEE TECH,570,https://www.espn.com/mens-college-basketball/player/_/id/5177611/rodney-johnson-jr
Jaylon Johnson,TENNESSEE TECH,1007,https://www.espn.com/mens-college-basketball/player/_/id/5242992/jaylon-johnson
Daniel Egbuniwe,TENNESSEE TECH,755,https://www.espn.com/mens-college-basketball/player/_/id/5108796/daniel-egbuniwe
Mekhi Cameron,TENNESSEE TECH,182,https://www.espn.com/mens-college-basketball/player/_/id/5175414/mekhi-cameron
Kyle Layton,TENNESSEE TECH,942,https://www.espn.com/mens-college-basketball/player/_/id/5177610/kyle-layton
JaJuan Nicholls,TENNESSEE TECH,353,https://www.espn.com/mens-college-basketball/player/_/id/5242994/jajuan-nicholls
Ray Glasgow,TENNESSEE TECH,411,https://www.espn.com/mens-college-basketball/player/_/id/5242993/ray-glasgow
Matthew Sells,TENNESSEE TECH,543,https://www.espn.com/mens-college-basketball/player/_/id/5242995/matthew-sells
Ola Ajiboye,TENNESSEE TECH,499,https://www.espn.com/mens-college-basketball/player/_/id/5108043/ola-ajiboye
Grant Slatten,TENNESSEE TECH,385,https://www.espn.com/mens-college-basketball/player/_/id/4687377/grant-slatten
David Craig,TENNESSEE TECH,72,https://www.espn.com/mens-college-basketball/player/_/id/5108880/david-craig
Grant Strong,TENNESSEE TECH,116,https://www.espn.com/mens-college-basketball/player/_/id/5107613/grant-strong
Bogdan Zimonjic,TENNESSEE TECH,10,https://www.espn.com/mens-college-basketball/player/_/id/4897475/bogdan-zimonjic
Rylee Samons,TENNESSEE TECH,3,https://www.espn.com/mens-college-basketball/player/_/id/5177612/rylee-samons
