Player Name,Team,Minutes Played,Player Link
Chaz Lanier,TENNESSEE,834,https://www.espn.com/mens-college-basketball/player/_/id/4700852/chaz-lanier
Zakai Zeigler,TENNESSEE,894,https://www.espn.com/mens-college-basketball/player/_/id/4883573/zakai-zeigler
Jordan Gainey,TENNESSEE,751,https://www.espn.com/mens-college-basketball/player/_/id/4897649/jordan-gainey
Igor Milicic Jr.,TENNESSEE,695,https://www.espn.com/mens-college-basketball/player/_/id/4897404/igor-milicic-jr
Felix Okpara,TENNESSEE,673,https://www.espn.com/mens-college-basketball/player/_/id/5105841/felix-okpara
Jahmai Mashack,TENNESSEE,749,https://www.espn.com/mens-college-basketball/player/_/id/4683934/jahmai-mashack
Cade Phillips,TENNESSEE,409,https://www.espn.com/mens-college-basketball/player/_/id/4848640/cade-phillips
Cameron Carr,TENNESSEE,41,https://www.espn.com/mens-college-basketball/player/_/id/5113969/cameron-carr
J.P. Estrella,TENNESSEE,31,https://www.espn.com/mens-college-basketball/player/_/id/5093142/jp-estrella
Darlinstone Dubar,TENNESSEE,226,https://www.espn.com/mens-college-basketball/player/_/id/4598640/darlinstone-dubar
Grant Hurst,TENNESSEE,8,https://www.espn.com/mens-college-basketball/player/_/id/4897332/grant-hurst
Campbell Duncan,TENNESSEE,5,https://www.espn.com/mens-college-basketball/player/_/id/5238229/campbell-duncan
Bishop Boswell,TENNESSEE,81,https://www.espn.com/mens-college-basketball/player/_/id/5101648/bishop-boswell
Gavin Paull,TENNESSEE,4,https://www.espn.com/mens-college-basketball/player/_/id/5238228/gavin-paull
