Player Name,Team,Minutes Played,Player Link
Garry Clark,TEXAS A&M-CORPUS CHRISTI,823,https://www.espn.com/mens-college-basketball/player/_/id/5108973/garry-clark
Isaac Williams,TEXAS A&M-CORPUS CHRISTI,490,https://www.espn.com/mens-college-basketball/player/_/id/5243130/isaac-williams
Owen Dease,TEXAS A&M-CORPUS CHRISTI,632,https://www.espn.com/mens-college-basketball/player/_/id/4897302/owen-dease
Jordan Roberts,TEXAS A&M-CORPUS CHRISTI,525,https://www.espn.com/mens-college-basketball/player/_/id/4897299/jordan-roberts
Damarion Dennis,TEXAS A&M-CORPUS CHRISTI,538,https://www.espn.com/mens-college-basketball/player/_/id/5243127/damarion-dennis
Sheldon Williams,TEXAS A&M-CORPUS CHRISTI,304,https://www.espn.com/mens-college-basketball/player/_/id/5243128/sheldon-williams
Stephen Giwa,TEXAS A&M-CORPUS CHRISTI,482,https://www.espn.com/mens-college-basketball/player/_/id/5107293/stephen-giwa
Dian Wright-Forde,TEXAS A&M-CORPUS CHRISTI,355,https://www.espn.com/mens-college-basketball/player/_/id/5176708/dian-wright-forde
Jaden Walker,TEXAS A&M-CORPUS CHRISTI,470,https://www.espn.com/mens-college-basketball/player/_/id/4433024/jaden-walker
Aaron Potter,TEXAS A&M-CORPUS CHRISTI,196,https://www.espn.com/mens-college-basketball/player/_/id/5243132/aaron-potter
Kam Parker,TEXAS A&M-CORPUS CHRISTI,350,https://www.espn.com/mens-college-basketball/player/_/id/5176710/kam-parker
Shilo Jackson,TEXAS A&M-CORPUS CHRISTI,243,https://www.espn.com/mens-college-basketball/player/_/id/5176713/shilo-jackson
Leo Torbor,TEXAS A&M-CORPUS CHRISTI,287,https://www.espn.com/mens-college-basketball/player/_/id/5107813/leo-torbor
Christian Villegas,TEXAS A&M-CORPUS CHRISTI,102,https://www.espn.com/mens-college-basketball/player/_/id/5176709/christian-villegas
