Player Name,Team,Minutes Played,Player Link
Wade Taylor IV,TEXAS A&M,693,https://www.espn.com/mens-college-basketball/player/_/id/4683833/wade-taylor-iv
Zhuric Phelps,TEXAS A&M,730,https://www.espn.com/mens-college-basketball/player/_/id/4699725/zhuric-phelps
Pharrel Payne,TEXAS A&M,523,https://www.espn.com/mens-college-basketball/player/_/id/5105823/pharrel-payne
Henry Coleman III,TEXAS A&M,583,https://www.espn.com/mens-college-basketball/player/_/id/4432186/henry-coleman-iii
Manny Obaseki,TEXAS A&M,457,https://www.espn.com/mens-college-basketball/player/_/id/4433277/manny-obaseki
Hayden Hefner,TEXAS A&M,396,https://www.espn.com/mens-college-basketball/player/_/id/4433279/hayden-hefner
Andersson Garcia,TEXAS A&M,630,https://www.espn.com/mens-college-basketball/player/_/id/4702431/andersson-garcia
Solomon Washington,TEXAS A&M,557,https://www.espn.com/mens-college-basketball/player/_/id/5105562/solomon-washington
CJ Wilcher,TEXAS A&M,272,https://www.espn.com/mens-college-basketball/player/_/id/4432590/cj-wilcher
Jace Carter,TEXAS A&M,477,https://www.espn.com/mens-college-basketball/player/_/id/4898186/jace-carter
Rob Dockery,TEXAS A&M,7,https://www.espn.com/mens-college-basketball/player/_/id/5174292/rob-dockery
Chris McDermott,TEXAS A&M,45,https://www.espn.com/mens-college-basketball/player/_/id/5061578/chris-mcdermott
Jaelyn Lee,TEXAS A&M,29,https://www.espn.com/mens-college-basketball/player/_/id/5105563/jaelyn-lee
