Player Name,Team,Minutes Played,Player Link
Tylan Pope,TEXAS STATE,725,https://www.espn.com/mens-college-basketball/player/_/id/4593827/tylan-pope
Tyrel Morgan,TEXAS STATE,623,https://www.espn.com/mens-college-basketball/player/_/id/4897157/tyrel-morgan
Kaden Gumbs,TEXAS STATE,806,https://www.espn.com/mens-college-basketball/player/_/id/5176728/kaden-gumbs
Mark Drone,TEXAS STATE,160,https://www.espn.com/mens-college-basketball/player/_/id/5240685/mark-drone
Coleton Benson,TEXAS STATE,357,https://www.espn.com/mens-college-basketball/player/_/id/5108809/coleton-benson
Joshua O'Garro,TEXAS STATE,855,https://www.espn.com/mens-college-basketball/player/_/id/4684167/joshua-ogarro
Dylan Dawson,TEXAS STATE,504,https://www.espn.com/mens-college-basketball/player/_/id/4702066/dylan-dawson
Christian Turner,TEXAS STATE,601,https://www.espn.com/mens-college-basketball/player/_/id/4702052/christian-turner
Drue Drinnon,TEXAS STATE,562,https://www.espn.com/mens-college-basketball/player/_/id/4397358/drue-drinnon
Austin Green,TEXAS STATE,349,https://www.espn.com/mens-college-basketball/player/_/id/5240686/austin-green
Nate Deer,TEXAS STATE,141,https://www.espn.com/mens-college-basketball/player/_/id/5240688/nate-deer
Jaylen Jones,TEXAS STATE,39,https://www.espn.com/mens-college-basketball/player/_/id/5240687/jaylen-jones
Bessanty Saragba,TEXAS STATE,174,https://www.espn.com/mens-college-basketball/player/_/id/5107879/bessanty-saragba
