Player Name,Team,Minutes Played,Player Link
JT Toppin,TEXAS TECH,585,https://www.espn.com/mens-college-basketball/player/_/id/5143604/jt-toppin
Chance McMillian,TEXAS TECH,885,https://www.espn.com/mens-college-basketball/player/_/id/4702027/chance-mcmillian
Darrion Williams,TEXAS TECH,785,https://www.espn.com/mens-college-basketball/player/_/id/4937074/darrion-williams
Christian Anderson,TEXAS TECH,717,https://www.espn.com/mens-college-basketball/player/_/id/5060701/christian-anderson
Elijah Hawkins,TEXAS TECH,762,https://www.espn.com/mens-college-basketball/player/_/id/4897766/elijah-hawkins
Kevin Overton,TEXAS TECH,574,https://www.espn.com/mens-college-basketball/player/_/id/5176314/kevin-overton
Federiko Federiko,TEXAS TECH,501,https://www.espn.com/mens-college-basketball/player/_/id/5105412/federiko-federiko
Devan Cambridge,TEXAS TECH,105,https://www.espn.com/mens-college-basketball/player/_/id/4567588/devan-cambridge
Kerwin Walton,TEXAS TECH,451,https://www.espn.com/mens-college-basketball/player/_/id/4567079/kerwin-walton
Eemeli Yalaho,TEXAS TECH,90,https://www.espn.com/mens-college-basketball/player/_/id/5175078/eemeli-yalaho
Leon Horner,TEXAS TECH,16,https://www.espn.com/mens-college-basketball/player/_/id/5240271/leon-horner
Jack Francis,TEXAS TECH,17,https://www.espn.com/mens-college-basketball/player/_/id/5175077/jack-francis
Corbin Green,TEXAS TECH,11,https://www.espn.com/mens-college-basketball/player/_/id/5113386/corbin-green
