Player Name,Team,Minutes Played,Player Link
Tre Johnson,TEXAS,837,https://www.espn.com/mens-college-basketball/player/_/id/5238230/tre-johnson
Arthur Kaluma,TEXAS,724,https://www.espn.com/mens-college-basketball/player/_/id/4433599/arthur-kaluma
Jordan Pope,TEXAS,666,https://www.espn.com/mens-college-basketball/player/_/id/5105624/jordan-pope
Tramon Mark,TEXAS,566,https://www.espn.com/mens-college-basketball/player/_/id/4432243/tramon-mark
Kadin Shedrick,TEXAS,709,https://www.espn.com/mens-college-basketball/player/_/id/4431710/kadin-shedrick
Chendall Weaver,TEXAS,315,https://www.espn.com/mens-college-basketball/player/_/id/5105486/chendall-weaver
Julian Larry,TEXAS,607,https://www.espn.com/mens-college-basketball/player/_/id/4703907/julian-larry
Jayson Kent,TEXAS,317,https://www.espn.com/mens-college-basketball/player/_/id/4703889/jayson-kent
Devon Pryor,TEXAS,189,https://www.espn.com/mens-college-basketball/player/_/id/5152761/devon-pryor
Ze'Rik Onyema,TEXAS,294,https://www.espn.com/mens-college-basketball/player/_/id/4703082/zerik-onyema
Jamie Vinson,TEXAS,44,https://www.espn.com/mens-college-basketball/player/_/id/5101692/jamie-vinson
Nic Codie,TEXAS,97,https://www.espn.com/mens-college-basketball/player/_/id/5149083/nic-codie
Cole Bott,TEXAS,22,https://www.espn.com/mens-college-basketball/player/_/id/4897760/cole-bott
Preston Clark,TEXAS,13,https://www.espn.com/mens-college-basketball/player/_/id/5106282/preston-clark
