Player Name,Team,Minutes Played,Player Link
Brody Fox,THE CITADEL,867,https://www.espn.com/mens-college-basketball/player/_/id/5116657/brody-fox
Keynan Davis,THE CITADEL,310,https://www.espn.com/mens-college-basketball/player/_/id/5176173/keynan-davis
Sola Adebisi,THE CITADEL,751,https://www.espn.com/mens-college-basketball/player/_/id/5114809/sola-adebisi
Christian Moore,THE CITADEL,560,https://www.espn.com/mens-college-basketball/player/_/id/5176171/christian-moore
Cameron Glover,THE CITADEL,543,https://www.espn.com/mens-college-basketball/player/_/id/4900691/cameron-glover
Paxton Davidson,THE CITADEL,695,https://www.espn.com/mens-college-basketball/player/_/id/5107074/paxton-davidson
Colby McAllister,THE CITADEL,414,https://www.espn.com/mens-college-basketball/player/_/id/5107359/colby-mcallister
John Adams,THE CITADEL,610,https://www.espn.com/mens-college-basketball/player/_/id/4904848/john-adams
Kam Roberts,THE CITADEL,98,https://www.espn.com/mens-college-basketball/player/_/id/5176170/kam-roberts
Dante Kearse,THE CITADEL,204,https://www.espn.com/mens-college-basketball/player/_/id/5243245/dante-kearse
Josh Davis,THE CITADEL,24,https://www.espn.com/mens-college-basketball/player/_/id/5107361/josh-davis
Eze Wali,THE CITADEL,276,https://www.espn.com/mens-college-basketball/player/_/id/5243243/eze-wali
Dominic Commisso,THE CITADEL,73,https://www.espn.com/mens-college-basketball/player/_/id/5176679/dominic-commisso
Braylen Smith,THE CITADEL,31,https://www.espn.com/mens-college-basketball/player/_/id/5243242/braylen-smith
Cole Alexander,THE CITADEL,13,https://www.espn.com/mens-college-basketball/player/_/id/5107362/cole-alexander
Graham Eikenberry,THE CITADEL,6,https://www.espn.com/mens-college-basketball/player/_/id/5243249/graham-eikenberry
