Player Name,Team,Minutes Played,Player Link
Sonny Wilson,TOLEDO,881,https://www.espn.com/mens-college-basketball/player/_/id/4845365/sonny-wilson
Sam Lewis,TOLEDO,831,https://www.espn.com/mens-college-basketball/player/_/id/5176232/sam-lewis
Javan Simmons,TOLEDO,773,https://www.espn.com/mens-college-basketball/player/_/id/5108006/javan-simmons
Isaiah Adams,TOLEDO,806,https://www.espn.com/mens-college-basketball/player/_/id/4433527/isaiah-adams
Bryce Ford,TOLEDO,562,https://www.espn.com/mens-college-basketball/player/_/id/5176231/bryce-ford
Seth Hubbard,TOLEDO,551,https://www.espn.com/mens-college-basketball/player/_/id/5108000/seth-hubbard
Andre Lorentsson,TOLEDO,408,https://www.espn.com/mens-college-basketball/player/_/id/4701121/andre-lorentsson
Jaylan Ouwinga,TOLEDO,318,https://www.espn.com/mens-college-basketball/player/_/id/5243086/jaylan-ouwinga
Grgur Brcic,TOLEDO,209,https://www.espn.com/mens-college-basketball/player/_/id/5176233/grgur-brcic
Jaylen Murphy,TOLEDO,14,https://www.espn.com/mens-college-basketball/player/_/id/5243084/jaylen-murphy
Tyler Ode,TOLEDO,49,https://www.espn.com/mens-college-basketball/player/_/id/5147322/tyler-ode
