Player Name,Team,Minutes Played,Player Link
Tyler Tejada,TOWSON,730,https://www.espn.com/mens-college-basketball/player/_/id/5175148/tyler-tejada
Dylan Williamson,TOWSON,882,https://www.espn.com/mens-college-basketball/player/_/id/5106727/dylan-williamson
Nendah Tarke,TOWSON,766,https://www.espn.com/mens-college-basketball/player/_/id/4704077/nendah-tarke
Christian May,TOWSON,682,https://www.espn.com/mens-college-basketball/player/_/id/5106728/christian-may
Tomiwa Sulaiman,TOWSON,577,https://www.espn.com/mens-college-basketball/player/_/id/5175147/tomiwa-sulaiman
Mekhi Lowery,TOWSON,631,https://www.espn.com/mens-college-basketball/player/_/id/5175146/mekhi-lowery
Messiah Jones,TOWSON,507,https://www.espn.com/mens-college-basketball/player/_/id/4398279/messiah-jones
Caleb Embeya,TOWSON,475,https://www.espn.com/mens-college-basketball/player/_/id/5242587/caleb-embeya
Mandela Tarke,TOWSON,11,https://www.espn.com/mens-college-basketball/player/_/id/5242585/mandela-tarke
Amir Shaheed,TOWSON,8,https://www.espn.com/mens-college-basketball/player/_/id/5242584/amir-shaheed
Rahdir Hicks,TOWSON,345,https://www.espn.com/mens-college-basketball/player/_/id/4897712/rahdir-hicks
Abdou Samb,TOWSON,246,https://www.espn.com/mens-college-basketball/player/_/id/4709321/abdou-samb
Ryan Skerry,TOWSON,15,https://www.espn.com/mens-college-basketball/player/_/id/5242586/ryan-skerry
