Player Name,Team,Minutes Played,Player Link
Rowan Brumbaugh,TULANE,889,https://www.espn.com/mens-college-basketball/player/_/id/5106280/rowan-brumbaugh
Kaleb Banks,TULANE,773,https://www.espn.com/mens-college-basketball/player/_/id/5105795/kaleb-banks
Asher Woods,TULANE,686,https://www.espn.com/mens-college-basketball/player/_/id/5107350/asher-woods
Gregg Glenn III,TULANE,661,https://www.espn.com/mens-college-basketball/player/_/id/5105807/gregg-glenn-iii
Kam Williams,TULANE,834,https://www.espn.com/mens-college-basketball/player/_/id/4873183/kam-williams
Mari Jordan,TULANE,499,https://www.espn.com/mens-college-basketball/player/_/id/4894453/mari-jordan
Tyler Ringgold,TULANE,275,https://www.espn.com/mens-college-basketball/player/_/id/5174293/tyler-ringgold
Logan Stephens,TULANE,29,https://www.espn.com/mens-college-basketball/player/_/id/4897439/logan-stephens
Percy Daniels,TULANE,272,https://www.espn.com/mens-college-basketball/player/_/id/4684988/percy-daniels
KJ Greene,TULANE,153,https://www.espn.com/mens-college-basketball/player/_/id/5240378/kj-greene
Michael Eley,TULANE,49,https://www.espn.com/mens-college-basketball/player/_/id/5107807/michael-eley
Spencer Elliott,TULANE,82,https://www.espn.com/mens-college-basketball/player/_/id/5175712/spencer-elliott
Jake Shapiro,TULANE,9,https://www.espn.com/mens-college-basketball/player/_/id/5106640/jake-shapiro
Joseph Teich,TULANE,9,https://www.espn.com/mens-college-basketball/player/_/id/5240379/joseph-teich
Stefan Cicic,TULANE,4,https://www.espn.com/mens-college-basketball/player/_/id/5240380/stefan-cicic
