Player Name,Team,Minutes Played,Player Link
TY Johnson,UC DAVIS,936,https://www.espn.com/mens-college-basketball/player/_/id/4897472/ty-johnson
Pablo Tamba,UC DAVIS,759,https://www.espn.com/mens-college-basketball/player/_/id/4897898/pablo-tamba
Connor Sevilla,UC DAVIS,804,https://www.espn.com/mens-college-basketball/player/_/id/5176386/connor-sevilla
Leo DeBruhl,UC DAVIS,810,https://www.espn.com/mens-college-basketball/player/_/id/4897673/leo-debruhl
Niko Rocak,UC DAVIS,721,https://www.espn.com/mens-college-basketball/player/_/id/4702596/niko-rocak
Carl Daughtery Jr.,UC DAVIS,486,https://www.espn.com/mens-college-basketball/player/_/id/5106684/carl-daughtery-jr
Nils Cooper,UC DAVIS,440,https://www.espn.com/mens-college-basketball/player/_/id/5176518/nils-cooper
Isaiah Chappell,UC DAVIS,204,https://www.espn.com/mens-college-basketball/player/_/id/5241920/isaiah-chappell
Jac Mani,UC DAVIS,56,https://www.espn.com/mens-college-basketball/player/_/id/5107167/jac-mani
Lukas Prongos,UC DAVIS,6,https://www.espn.com/mens-college-basketball/player/_/id/5182068/lukas-prongos
Derek Sangster,UC DAVIS,34,https://www.espn.com/mens-college-basketball/player/_/id/5177172/derek-sangster
Jamaal Unuakhalu,UC DAVIS,38,https://www.espn.com/mens-college-basketball/player/_/id/5241922/jamaal-unuakhalu
Sione Lose,UC DAVIS,326,https://www.espn.com/mens-college-basketball/player/_/id/4897674/sione-lose
Marsalis Roberson,UC DAVIS,3,https://www.espn.com/mens-college-basketball/player/_/id/4698720/marsalis-roberson
