Player Name,Team,Minutes Played,Player Link
Stephan Swenson,UC SANTA BARBARA,802,https://www.espn.com/mens-college-basketball/player/_/id/4700860/stephan-swenson
Kenny Pohto,UC SANTA BARBARA,735,https://www.espn.com/mens-college-basketball/player/_/id/4684445/kenny-pohto
Jason Fontenet II,UC SANTA BARBARA,837,https://www.espn.com/mens-college-basketball/player/_/id/5176464/jason-fontenet-ii
Deuce Turner,UC SANTA BARBARA,558,https://www.espn.com/mens-college-basketball/player/_/id/4702497/deuce-turner
Cole Anderson,UC SANTA BARBARA,786,https://www.espn.com/mens-college-basketball/player/_/id/4900668/cole-anderson
Colin Smith,UC SANTA BARBARA,266,https://www.espn.com/mens-college-basketball/player/_/id/4684812/colin-smith
Max Murrell,UC SANTA BARBARA,493,https://www.espn.com/mens-college-basketball/player/_/id/4585601/max-murrell
Zion Sensley,UC SANTA BARBARA,105,https://www.espn.com/mens-college-basketball/player/_/id/5242262/zion-sensley
Ben Shtolzberg,UC SANTA BARBARA,364,https://www.espn.com/mens-college-basketball/player/_/id/5105578/ben-shtolzberg
Zachiah Clark,UC SANTA BARBARA,37,https://www.espn.com/mens-college-basketball/player/_/id/5242264/zachiah-clark
Chris Mitchell,UC SANTA BARBARA,85,https://www.espn.com/mens-college-basketball/player/_/id/5242261/chris-mitchell
Ariel Bland,UC SANTA BARBARA,191,https://www.espn.com/mens-college-basketball/player/_/id/4900669/ariel-bland
Koat Keat Tong,UC SANTA BARBARA,181,https://www.espn.com/mens-college-basketball/player/_/id/4685013/koat-keat-tong
Evans Kipruto,UC SANTA BARBARA,120,https://www.espn.com/mens-college-basketball/player/_/id/5107146/evans-kipruto
Henry Hartwell,UC SANTA BARBARA,7,https://www.espn.com/mens-college-basketball/player/_/id/4900670/henry-hartwell
Max Sheldon,UC SANTA BARBARA,12,https://www.espn.com/mens-college-basketball/player/_/id/4900673/max-sheldon
Bryce Howard,UC SANTA BARBARA,8,https://www.espn.com/mens-college-basketball/player/_/id/5187948/bryce-howard
David Pickles,UC SANTA BARBARA,11,https://www.espn.com/mens-college-basketball/player/_/id/4900672/david-pickles
Elia Bongiorno,UC SANTA BARBARA,3,https://www.espn.com/mens-college-basketball/player/_/id/5176466/elia-bongiorno
