Player Name,Team,Minutes Played,Player Link
Keyshawn Hall,UCF,882,https://www.espn.com/mens-college-basketball/player/_/id/5075625/keyshawn-hall
Darius Johnson,UCF,913,https://www.espn.com/mens-college-basketball/player/_/id/4684809/darius-johnson
Jordan Ivy-Curry,UCF,799,https://www.espn.com/mens-college-basketball/player/_/id/4703122/jordan-ivy-curry
Moustapha Thiam,UCF,650,https://www.espn.com/mens-college-basketball/player/_/id/5149078/moustapha-thiam
Jaylin Sellers,UCF,47,https://www.espn.com/mens-college-basketball/player/_/id/4898010/jaylin-sellers
Dallan Coleman,UCF,649,https://www.espn.com/mens-college-basketball/player/_/id/4433595/dallan-coleman
Mikey Williams,UCF,203,https://www.espn.com/mens-college-basketball/player/_/id/4683786/mikey-williams
JJ Taylor,UCF,283,https://www.espn.com/mens-college-basketball/player/_/id/5175063/jj-taylor
Benny Williams,UCF,354,https://www.espn.com/mens-college-basketball/player/_/id/4575472/benny-williams
Dior Johnson,UCF,192,https://www.espn.com/mens-college-basketball/player/_/id/4432741/dior-johnson
Rokas Jocius,UCF,212,https://www.espn.com/mens-college-basketball/player/_/id/5105904/rokas-jocius
Nils Machowski,UCF,173,https://www.espn.com/mens-college-basketball/player/_/id/5175080/nils-machowski
Tyler Hendricks,UCF,113,https://www.espn.com/mens-college-basketball/player/_/id/4838703/tyler-hendricks
Poohpha Warakulnukroh,UCF,3,https://www.espn.com/mens-college-basketball/player/_/id/5106645/poohpha-warakulnukroh
