Player Name,Team,Minutes Played,Player Link
Liam McNeeley,UCONN,608,https://www.espn.com/mens-college-basketball/player/_/id/5239590/liam-mcneeley
Solo Ball,UCONN,870,https://www.espn.com/mens-college-basketball/player/_/id/4895737/solo-ball
Alex Karaban,UCONN,900,https://www.espn.com/mens-college-basketball/player/_/id/4917149/alex-karaban
Tarris Reed Jr.,UCONN,535,https://www.espn.com/mens-college-basketball/player/_/id/5105809/tarris-reed-jr
Hassan Diarra,UCONN,742,https://www.espn.com/mens-college-basketball/player/_/id/4433160/hassan-diarra
Samson Johnson,UCONN,502,https://www.espn.com/mens-college-basketball/player/_/id/4683752/samson-johnson
Jaylin Stewart,UCONN,488,https://www.espn.com/mens-college-basketball/player/_/id/4685647/jaylin-stewart
Aidan Mahaney,UCONN,341,https://www.espn.com/mens-college-basketball/player/_/id/4684628/aidan-mahaney
Jayden Ross,UCONN,345,https://www.espn.com/mens-college-basketball/player/_/id/4895753/jayden-ross
Isaiah Abraham,UCONN,27,https://www.espn.com/mens-college-basketball/player/_/id/5093403/isaiah-abraham
Ahmad Nowell,UCONN,102,https://www.espn.com/mens-college-basketball/player/_/id/4869778/ahmad-nowell
Youssouf Singare,UCONN,40,https://www.espn.com/mens-college-basketball/player/_/id/5102797/youssouf-singare
