Player Name,Team,Minutes Played,Player Link
Jalen Bolden,UL MONROE,974,https://www.espn.com/mens-college-basketball/player/_/id/5108069/jalen-bolden
Coltie Young,UL MONROE,875,https://www.espn.com/mens-college-basketball/player/_/id/4899535/coltie-young
Tyreese Watson,UL MONROE,872,https://www.espn.com/mens-college-basketball/player/_/id/5176747/tyreese-watson
Makai Willis,UL MONROE,866,https://www.espn.com/mens-college-basketball/player/_/id/4896371/makai-willis
Jacob Wilson,UL MONROE,590,https://www.espn.com/mens-college-basketball/player/_/id/5108070/jacob-wilson
Jerry Ngopot,UL MONROE,546,https://www.espn.com/mens-college-basketball/player/_/id/4898257/jerry-ngopot
Renars Sondors,UL MONROE,141,https://www.espn.com/mens-college-basketball/player/_/id/5240758/renars-sondors
Devon Hancock,UL MONROE,97,https://www.espn.com/mens-college-basketball/player/_/id/5108068/devon-hancock
Kelton Williams,UL MONROE,46,https://www.espn.com/mens-college-basketball/player/_/id/5176748/kelton-williams
Micah Caster,UL MONROE,206,https://www.espn.com/mens-college-basketball/player/_/id/5240757/micah-caster
AD Diedhiou,UL MONROE,521,https://www.espn.com/mens-college-basketball/player/_/id/4897573/ad-diedhiou
P.D. McCraney,UL MONROE,50,https://www.espn.com/mens-college-basketball/player/_/id/5176749/pd-mccraney
Ajay Tew,UL MONROE,42,https://www.espn.com/mens-college-basketball/player/_/id/5176750/ajay-tew
