Player Name,Team,Minutes Played,Player Link
Bryce Johnson,UMBC,934,https://www.espn.com/mens-college-basketball/player/_/id/4896859/bryce-johnson
Marcus Banks Jr.,UMBC,861,https://www.espn.com/mens-college-basketball/player/_/id/4897361/marcus-banks-jr
Josh Odunowo,UMBC,760,https://www.espn.com/mens-college-basketball/player/_/id/4702976/josh-odunowo
Marlon Short,UMBC,647,https://www.espn.com/mens-college-basketball/player/_/id/4904726/marlon-short
Ace Valentine,UMBC,747,https://www.espn.com/mens-college-basketball/player/_/id/5174860/ace-valentine
Louie Jordan,UMBC,624,https://www.espn.com/mens-college-basketball/player/_/id/5108145/louie-jordan
Regimantas Ciunys,UMBC,297,https://www.espn.com/mens-college-basketball/player/_/id/5107238/regimantas-ciunys
Devan Sapp,UMBC,308,https://www.espn.com/mens-college-basketball/player/_/id/5107240/devan-sapp
Daylon Dickerson,UMBC,171,https://www.espn.com/mens-college-basketball/player/_/id/5239816/daylon-dickerson
Tim Eze,UMBC,103,https://www.espn.com/mens-college-basketball/player/_/id/5239817/tim-eze
Ashton Reese,UMBC,71,https://www.espn.com/mens-college-basketball/player/_/id/5174859/ashton-reese
Chaydon Stone,UMBC,73,https://www.espn.com/mens-college-basketball/player/_/id/5239815/chaydon-stone
JC Harris,UMBC,234,https://www.espn.com/mens-college-basketball/player/_/id/4898003/jc-harris
Alpha Chibambe,UMBC,26,https://www.espn.com/mens-college-basketball/player/_/id/5174857/alpha-chibambe
Torin Bosch,UMBC,30,https://www.espn.com/mens-college-basketball/player/_/id/5239819/torin-bosch
Isaac Varghese,UMBC,13,https://www.espn.com/mens-college-basketball/player/_/id/5174861/isaac-varghese
