Player Name,Team,Minutes Played,Player Link
Jordan Marsh,UNC ASHEVILLE,803,https://www.espn.com/mens-college-basketball/player/_/id/5176755/jordan-marsh
Josh Banks,UNC ASHEVILLE,816,https://www.espn.com/mens-college-basketball/player/_/id/4432402/josh-banks
Toyaz Solomon,UNC ASHEVILLE,869,https://www.espn.com/mens-college-basketball/player/_/id/5176355/toyaz-solomon
Fletcher Abee,UNC ASHEVILLE,774,https://www.espn.com/mens-college-basketball/player/_/id/4432931/fletcher-abee
Kameron Taylor,UNC ASHEVILLE,582,https://www.espn.com/mens-college-basketball/player/_/id/5241756/kameron-taylor
Connor Dubsky,UNC ASHEVILLE,239,https://www.espn.com/mens-college-basketball/player/_/id/5174622/connor-dubsky
Greg Gantt Jr.,UNC ASHEVILLE,750,https://www.espn.com/mens-college-basketball/player/_/id/4431711/greg-gantt-jr
Jemal Davis,UNC ASHEVILLE,372,https://www.espn.com/mens-college-basketball/player/_/id/4704079/jemal-davis
Sage Tolentino,UNC ASHEVILLE,115,https://www.espn.com/mens-college-basketball/player/_/id/4838724/sage-tolentino
Rasheed Baldwin,UNC ASHEVILLE,16,https://www.espn.com/mens-college-basketball/player/_/id/5176358/rasheed-baldwin
Corey Jones,UNC ASHEVILLE,49,https://www.espn.com/mens-college-basketball/player/_/id/5176357/corey-jones
Javoy Thompson,UNC ASHEVILLE,81,https://www.espn.com/mens-college-basketball/player/_/id/5176356/javoy-thompson
Aidan Rubio,UNC ASHEVILLE,84,https://www.espn.com/mens-college-basketball/player/_/id/5176182/aidan-rubio
Julian Clarke,UNC ASHEVILLE,128,https://www.espn.com/mens-college-basketball/player/_/id/5241757/julian-clarke
