Player Name,Team,Minutes Played,Player Link
Kenyon Giles,UNC GREENSBORO,795,https://www.espn.com/mens-college-basketball/player/_/id/5107508/kenyon-giles
Donovan Atwell,UNC GREENSBORO,845,https://www.espn.com/mens-college-basketball/player/_/id/5107355/donovan-atwell
Ronald Polite III,UNC GREENSBORO,686,https://www.espn.com/mens-college-basketball/player/_/id/4567711/ronald-polite-iii
Jalen Breath,UNC GREENSBORO,619,https://www.espn.com/mens-college-basketball/player/_/id/4897370/jalen-breath
Demetrius Davis,UNC GREENSBORO,554,https://www.espn.com/mens-college-basketball/player/_/id/5107376/demetrius-davis
Joryam Saizonou,UNC GREENSBORO,661,https://www.espn.com/mens-college-basketball/player/_/id/4897046/joryam-saizonou
Malik Henry,UNC GREENSBORO,446,https://www.espn.com/mens-college-basketball/player/_/id/4606836/malik-henry
Akrum Ahemed,UNC GREENSBORO,287,https://www.espn.com/mens-college-basketball/player/_/id/4593147/akrum-ahemed
Muon Reath,UNC GREENSBORO,224,https://www.espn.com/mens-college-basketball/player/_/id/4897206/muon-reath
Miles Jones,UNC GREENSBORO,462,https://www.espn.com/mens-college-basketball/player/_/id/4592762/miles-jones
Domas Kauzonas,UNC GREENSBORO,77,https://www.espn.com/mens-college-basketball/player/_/id/5176222/domas-kauzonas
Clinton Efinda,UNC GREENSBORO,24,https://www.espn.com/mens-college-basketball/player/_/id/5243252/clinton-efinda
Mason So,UNC GREENSBORO,90,https://www.espn.com/mens-college-basketball/player/_/id/5176220/mason-so
Clyde Bailey II,UNC GREENSBORO,16,https://www.espn.com/mens-college-basketball/player/_/id/5243253/clyde-bailey-ii
Keyon Webb,UNC GREENSBORO,13,https://www.espn.com/mens-college-basketball/player/_/id/5176221/keyon-webb
