Player Name,Team,Minutes Played,Player Link
Donovan Newby,UNC WILMINGTON,900,https://www.espn.com/mens-college-basketball/player/_/id/4702932/donovan-newby
Khamari McGriff,UNC WILMINGTON,526,https://www.espn.com/mens-college-basketball/player/_/id/4897715/khamari-mcgriff
Sean Moore,UNC WILMINGTON,655,https://www.espn.com/mens-college-basketball/player/_/id/5106587/sean-moore
Elijah Jamison,UNC WILMINGTON,60,https://www.espn.com/mens-college-basketball/player/_/id/5106767/elijah-jamison
Bo Montgomery,UNC WILMINGTON,606,https://www.espn.com/mens-college-basketball/player/_/id/4702509/bo-montgomery
Harlan Obioha,UNC WILMINGTON,561,https://www.espn.com/mens-college-basketball/player/_/id/4920142/harlan-obioha
Noah Ross,UNC WILMINGTON,576,https://www.espn.com/mens-college-basketball/player/_/id/5106732/noah-ross
Jake Murphy,UNC WILMINGTON,22,https://www.espn.com/mens-college-basketball/player/_/id/4903268/jake-murphy
Joshua Corbin,UNC WILMINGTON,492,https://www.espn.com/mens-college-basketball/player/_/id/4592773/joshua-corbin
Nolan Hodge,UNC WILMINGTON,605,https://www.espn.com/mens-college-basketball/player/_/id/5106731/nolan-hodge
Greedy Williams,UNC WILMINGTON,603,https://www.espn.com/mens-college-basketball/player/_/id/5108909/greedy-williams
Shane Anthony,UNC WILMINGTON,9,https://www.espn.com/mens-college-basketball/player/_/id/5176509/shane-anthony
Makoi Mabor,UNC WILMINGTON,45,https://www.espn.com/mens-college-basketball/player/_/id/5242590/makoi-mabor
Kendell Cave,UNC WILMINGTON,2,https://www.espn.com/mens-college-basketball/player/_/id/5242589/kendell-cave
JoJo Fullwood,UNC WILMINGTON,14,https://www.espn.com/mens-college-basketball/player/_/id/5242591/jojo-fullwood
