Player Name,Team,Minutes Played,Player Link
Desmond Claude,USC,779,https://www.espn.com/mens-college-basketball/player/_/id/5105606/desmond-claude
Wesley Yates III,USC,733,https://www.espn.com/mens-college-basketball/player/_/id/4869737/wesley-yates-iii
Chibuzo Agbo,USC,835,https://www.espn.com/mens-college-basketball/player/_/id/4433197/chibuzo-agbo
Terrance Williams II,USC,225,https://www.espn.com/mens-college-basketball/player/_/id/4702236/terrance-williams-ii
Saint Thomas,USC,890,https://www.espn.com/mens-college-basketball/player/_/id/4897471/saint-thomas
Rashaun Agee,USC,406,https://www.espn.com/mens-college-basketball/player/_/id/4593815/rashaun-agee
Josh Cohen,USC,356,https://www.espn.com/mens-college-basketball/player/_/id/4593120/josh-cohen
Clark Slajchert,USC,181,https://www.espn.com/mens-college-basketball/player/_/id/4702954/clark-slajchert
Kevin Patton Jr.,USC,189,https://www.espn.com/mens-college-basketball/player/_/id/5176443/kevin-patton-jr
Matt Knowling,USC,302,https://www.espn.com/mens-college-basketball/player/_/id/4898246/matt-knowling
Jalen Shelley,USC,121,https://www.espn.com/mens-college-basketball/player/_/id/5037874/jalen-shelley
Isaiah Elohim,USC,103,https://www.espn.com/mens-college-basketball/player/_/id/4869767/isaiah-elohim
Bryce Pope,USC,62,https://www.espn.com/mens-college-basketball/player/_/id/4702606/bryce-pope
Harrison Hornery,USC,18,https://www.espn.com/mens-college-basketball/player/_/id/4433617/harrison-hornery
