Player Name,Team,Minutes Played,Player Link
Ian Martinez,UTAH STATE,819,https://www.espn.com/mens-college-basketball/player/_/id/4601026/ian-martinez
Mason Falslev,UTAH STATE,915,https://www.espn.com/mens-college-basketball/player/_/id/5107864/mason-falslev
Dexter Akanno,UTAH STATE,704,https://www.espn.com/mens-college-basketball/player/_/id/4431877/dexter-akanno
Karson Templin,UTAH STATE,488,https://www.espn.com/mens-college-basketball/player/_/id/5176273/karson-templin
Drake Allen,UTAH STATE,554,https://www.espn.com/mens-college-basketball/player/_/id/5105494/drake-allen
Deyton Albury,UTAH STATE,496,https://www.espn.com/mens-college-basketball/player/_/id/5176237/deyton-albury
Aubin Gateretse,UTAH STATE,492,https://www.espn.com/mens-college-basketball/player/_/id/4897618/aubin-gateretse
Tucker Anderson,UTAH STATE,479,https://www.espn.com/mens-college-basketball/player/_/id/5175860/tucker-anderson
Isaac Johnson,UTAH STATE,236,https://www.espn.com/mens-college-basketball/player/_/id/4898118/isaac-johnson
Braden Housley,UTAH STATE,23,https://www.espn.com/mens-college-basketball/player/_/id/5105495/braden-housley
Isaac Davis,UTAH STATE,70,https://www.espn.com/mens-college-basketball/player/_/id/4873202/isaac-davis
Jaxon Smith,UTAH STATE,19,https://www.espn.com/mens-college-basketball/player/_/id/5176271/jaxon-smith
Jordy Barnes,UTAH STATE,307,https://www.espn.com/mens-college-basketball/player/_/id/5241264/jordy-barnes
