Player Name,Team,Minutes Played,Player Link
Noa Gonsalves,UTAH TECH,941,https://www.espn.com/mens-college-basketball/player/_/id/4896874/noa-gonsalves
Beon Riley,UTAH TECH,691,https://www.espn.com/mens-college-basketball/player/_/id/4702505/beon-riley
Hakim Byrd,UTAH TECH,818,https://www.espn.com/mens-college-basketball/player/_/id/4590396/hakim-byrd
Samuel Ariyibi,UTAH TECH,566,https://www.espn.com/mens-college-basketball/player/_/id/4898377/samuel-ariyibi
Madiba Owona,UTAH TECH,291,https://www.espn.com/mens-college-basketball/player/_/id/5241399/madiba-owona
Justin Bieker,UTAH TECH,685,https://www.espn.com/mens-college-basketball/player/_/id/4593799/justin-bieker
Tennessee Rainwater,UTAH TECH,401,https://www.espn.com/mens-college-basketball/player/_/id/5176649/tennessee-rainwater
Britton Berrett,UTAH TECH,234,https://www.espn.com/mens-college-basketball/player/_/id/5241402/britton-berrett
Stone Hutchings,UTAH TECH,184,https://www.espn.com/mens-college-basketball/player/_/id/5105475/stone-hutchings
Hunter Schenck,UTAH TECH,143,https://www.espn.com/mens-college-basketball/player/_/id/5241398/hunter-schenck
Unisa Turay,UTAH TECH,168,https://www.espn.com/mens-college-basketball/player/_/id/5176650/unisa-turay
Sammy Howlin,UTAH TECH,82,https://www.espn.com/mens-college-basketball/player/_/id/4598991/sammy-howlin
Preston Vandermyde,UTAH TECH,7,https://www.espn.com/mens-college-basketball/player/_/id/5241401/preston-vandermyde
Dallin Grant,UTAH TECH,71,https://www.espn.com/mens-college-basketball/player/_/id/5176272/dallin-grant
Pavle Misic,UTAH TECH,143,https://www.espn.com/mens-college-basketball/player/_/id/5241403/pavle-misic
