Player Name,Team,Minutes Played,Player Link
Dominick Nelson,UTAH VALLEY,818,https://www.espn.com/mens-college-basketball/player/_/id/5241380/dominick-nelson
Carter Welling,UTAH VALLEY,611,https://www.espn.com/mens-college-basketball/player/_/id/5176397/carter-welling
Tanner Toolson,UTAH VALLEY,758,https://www.espn.com/mens-college-basketball/player/_/id/5105461/tanner-toolson
Ethan Potter,UTAH VALLEY,379,https://www.espn.com/mens-college-basketball/player/_/id/5105471/ethan-potter
Trevan Leonhardt,UTAH VALLEY,745,https://www.espn.com/mens-college-basketball/player/_/id/5105468/trevan-leonhardt
Osiris Grady,UTAH VALLEY,451,https://www.espn.com/mens-college-basketball/player/_/id/4858609/osiris-grady
Jackson Holcombe,UTAH VALLEY,359,https://www.espn.com/mens-college-basketball/player/_/id/5176632/jackson-holcombe
Hayden Welling,UTAH VALLEY,348,https://www.espn.com/mens-college-basketball/player/_/id/5107161/hayden-welling
Kylin Green,UTAH VALLEY,424,https://www.espn.com/mens-college-basketball/player/_/id/5241376/kylin-green
Noah Taitz,UTAH VALLEY,204,https://www.espn.com/mens-college-basketball/player/_/id/4432398/noah-taitz
Cory Wells,UTAH VALLEY,322,https://www.espn.com/mens-college-basketball/player/_/id/4904928/cory-wells
Majer Sullivan,UTAH VALLEY,26,https://www.espn.com/mens-college-basketball/player/_/id/5241381/majer-sullivan
Andre Johnson Jr.,UTAH VALLEY,5,https://www.espn.com/mens-college-basketball/player/_/id/5105567/andre-johnson-jr
