Player Name,Team,Minutes Played,Player Link
Primo Spears,UTSA,905,https://www.espn.com/mens-college-basketball/player/_/id/4897090/primo-spears
Marcus Millender,UTSA,875,https://www.espn.com/mens-college-basketball/player/_/id/5176681/marcus-millender
Raekwon Horton,UTSA,808,https://www.espn.com/mens-college-basketball/player/_/id/4896996/raekwon-horton
Damari Monsanto,UTSA,645,https://www.espn.com/mens-college-basketball/player/_/id/4432916/damari-monsanto
Tai'Reon Joseph,UTSA,330,https://www.espn.com/mens-college-basketball/player/_/id/4703215/taireon-joseph
Jaquan Scott,UTSA,111,https://www.espn.com/mens-college-basketball/player/_/id/5174317/jaquan-scott
Jonnivius Smith,UTSA,605,https://www.espn.com/mens-college-basketball/player/_/id/4897417/jonnivius-smith
Mo Njie,UTSA,140,https://www.espn.com/mens-college-basketball/player/_/id/4898293/mo-njie
Skylar Wicks,UTSA,120,https://www.espn.com/mens-college-basketball/player/_/id/4703980/skylar-wicks
Paul Lewis,UTSA,24,https://www.espn.com/mens-college-basketball/player/_/id/5105279/paul-lewis
Nazar Mahmoud,UTSA,132,https://www.espn.com/mens-college-basketball/player/_/id/5175742/nazar-mahmoud
LJ Brown,UTSA,11,https://www.espn.com/mens-college-basketball/player/_/id/4905284/lj-brown
Baboucarr Njie,UTSA,265,https://www.espn.com/mens-college-basketball/player/_/id/5240407/baboucarr-njie
Zach Gonsoulin,UTSA,24,https://www.espn.com/mens-college-basketball/player/_/id/5106278/zach-gonsoulin
David Hermes,UTSA,223,https://www.espn.com/mens-college-basketball/player/_/id/5240406/david-hermes
Jackson Fazande,UTSA,7,https://www.espn.com/mens-college-basketball/player/_/id/5240408/jackson-fazande
