Player Name,Team,Minutes Played,Player Link
Cooper Schwieger,VALPARAISO,920,https://www.espn.com/mens-college-basketball/player/_/id/5176402/cooper-schwieger
All Wright,VALPARAISO,824,https://www.espn.com/mens-college-basketball/player/_/id/5241430/all-wright
Jefferson De La Cruz Monegro,VALPARAISO,861,https://www.espn.com/mens-college-basketball/player/_/id/5176246/jefferson-de-la-cruz-monegro
Tyler Schmidt,VALPARAISO,719,https://www.espn.com/mens-college-basketball/player/_/id/4707808/tyler-schmidt
Devon Ellis,VALPARAISO,319,https://www.espn.com/mens-college-basketball/player/_/id/5178891/devon-ellis
Isaiah Shaw,VALPARAISO,401,https://www.espn.com/mens-college-basketball/player/_/id/4896885/isaiah-shaw
Justus McNair,VALPARAISO,335,https://www.espn.com/mens-college-basketball/player/_/id/5241429/justus-mcnair
Darius DeAveiro,VALPARAISO,715,https://www.espn.com/mens-college-basketball/player/_/id/4897486/darius-deaveiro
Kaspar Sepp,VALPARAISO,591,https://www.espn.com/mens-college-basketball/player/_/id/5176404/kaspar-sepp
Lucas Scroggins,VALPARAISO,33,https://www.espn.com/mens-college-basketball/player/_/id/5176401/lucas-scroggins
Carson Schwieger,VALPARAISO,96,https://www.espn.com/mens-college-basketball/player/_/id/5177217/carson-schwieger
Ramzi Salem,VALPARAISO,15,https://www.espn.com/mens-college-basketball/player/_/id/5241431/ramzi-salem
Louth-M Coulibaly,VALPARAISO,31,https://www.espn.com/mens-college-basketball/player/_/id/4702513/louth-m-coulibaly
Nick Lombardi,VALPARAISO,8,https://www.espn.com/mens-college-basketball/player/_/id/5241433/nick-lombardi
Joe Vick,VALPARAISO,8,https://www.espn.com/mens-college-basketball/player/_/id/5107871/joe-vick
