Player Name,Team,Minutes Played,Player Link
Joe Bamisile,VCU,719,https://www.espn.com/mens-college-basketball/player/_/id/4432537/joe-bamisile
Max Shulga,VCU,865,https://www.espn.com/mens-college-basketball/player/_/id/4701992/max-shulga
Phillip Russell,VCU,637,https://www.espn.com/mens-college-basketball/player/_/id/4701120/phillip-russell
Zeb Jackson,VCU,464,https://www.espn.com/mens-college-basketball/player/_/id/4433172/zeb-jackson
Jack Clark,VCU,740,https://www.espn.com/mens-college-basketball/player/_/id/4397152/jack-clark
Christian Fermin,VCU,535,https://www.espn.com/mens-college-basketball/player/_/id/5106041/christian-fermin
Terrence Hill Jr.,VCU,132,https://www.espn.com/mens-college-basketball/player/_/id/5060712/terrence-hill-jr
Michael Belle,VCU,374,https://www.espn.com/mens-college-basketball/player/_/id/5174672/michael-belle
Alphonzo Billups III,VCU,158,https://www.espn.com/mens-college-basketball/player/_/id/5106039/alphonzo-billups-iii
Luke Bamgboye,VCU,418,https://www.espn.com/mens-college-basketball/player/_/id/5061581/luke-bamgboye
Brandon Jennings,VCU,364,https://www.espn.com/mens-college-basketball/player/_/id/5239713/brandon-jennings
Obinnaya Okafor,VCU,16,https://www.espn.com/mens-college-basketball/player/_/id/5106042/obinnaya-okafor
