Player Name,Team,Minutes Played,Player Link
TJ Hurley,VERMONT,830,https://www.espn.com/mens-college-basketball/player/_/id/5107295/tj-hurley
TJ Long,VERMONT,232,https://www.espn.com/mens-college-basketball/player/_/id/4896370/tj-long
Ileri Ayo-Faleye,VERMONT,818,https://www.espn.com/mens-college-basketball/player/_/id/4701259/ileri-ayo-faleye
Shamir Bogues,VERMONT,759,https://www.espn.com/mens-college-basketball/player/_/id/4705380/shamir-bogues
Nick Fiorillo,VERMONT,698,https://www.espn.com/mens-college-basketball/player/_/id/4592946/nick-fiorillo
Sam Alamutu,VERMONT,643,https://www.espn.com/mens-college-basketball/player/_/id/4898006/sam-alamutu
Jace Roquemore,VERMONT,481,https://www.espn.com/mens-college-basketball/player/_/id/4702611/jace-roquemore
Sean Blake,VERMONT,421,https://www.espn.com/mens-college-basketball/player/_/id/5239825/sean-blake
Shy Odom,VERMONT,97,https://www.espn.com/mens-college-basketball/player/_/id/4432746/shy-odom
Noah Barnett,VERMONT,325,https://www.espn.com/mens-college-basketball/player/_/id/4895789/noah-barnett
Gavin Perryman,VERMONT,77,https://www.espn.com/mens-college-basketball/player/_/id/4863516/gavin-perryman
Seth Joba,VERMONT,218,https://www.espn.com/mens-college-basketball/player/_/id/5174853/seth-joba
