Player Name,Team,Minutes Played,Player Link
Eric Dixon,VILLANOVA,930,https://www.espn.com/mens-college-basketball/player/_/id/4431718/eric-dixon
Wooga Poplar,VILLANOVA,863,https://www.espn.com/mens-college-basketball/player/_/id/4897397/wooga-poplar
Jordan Longino,VILLANOVA,937,https://www.espn.com/mens-college-basketball/player/_/id/4684153/jordan-longino
Jhamir Brickus,VILLANOVA,832,https://www.espn.com/mens-college-basketball/player/_/id/4700970/jhamir-brickus
Tyler Perkins,VILLANOVA,714,https://www.espn.com/mens-college-basketball/player/_/id/5182412/tyler-perkins
Enoch Boakye,VILLANOVA,593,https://www.espn.com/mens-college-basketball/player/_/id/4898110/enoch-boakye
Kris Parker,VILLANOVA,248,https://www.espn.com/mens-college-basketball/player/_/id/4848623/kris-parker
Jordann Dumont,VILLANOVA,66,https://www.espn.com/mens-college-basketball/player/_/id/5117584/jordann-dumont
Josiah Moseley,VILLANOVA,303,https://www.espn.com/mens-college-basketball/player/_/id/5152656/josiah-moseley
Aleksandar Gavalyugov,VILLANOVA,18,https://www.espn.com/mens-college-basketball/player/_/id/5215425/aleksandar-gavalyugov
Nnanna Njoku,VILLANOVA,94,https://www.espn.com/mens-college-basketball/player/_/id/4433274/nnanna-njoku
Collin O'Toole,VILLANOVA,3,https://www.espn.com/mens-college-basketball/player/_/id/5105591/collin-otoole
