Player Name,Team,Minutes Played,Player Link
Tobi Lawal,VIRGINIA TECH,713,https://www.espn.com/mens-college-basketball/player/_/id/5106040/tobi-lawal
Mylyjael Poteat,VIRGINIA TECH,588,https://www.espn.com/mens-college-basketball/player/_/id/4590358/mylyjael-poteat
Jaden Schutt,VIRGINIA TECH,718,https://www.espn.com/mens-college-basketball/player/_/id/4712846/jaden-schutt
Ben Burnham,VIRGINIA TECH,565,https://www.espn.com/mens-college-basketball/player/_/id/4896997/ben-burnham
Jaydon Young,VIRGINIA TECH,543,https://www.espn.com/mens-college-basketball/player/_/id/4711266/jaydon-young
Tyler Johnson,VIRGINIA TECH,661,https://www.espn.com/mens-college-basketball/player/_/id/5165275/tyler-johnson
Brandon Rechsteiner,VIRGINIA TECH,596,https://www.espn.com/mens-college-basketball/player/_/id/5103590/brandon-rechsteiner
Ben Hammond,VIRGINIA TECH,460,https://www.espn.com/mens-college-basketball/player/_/id/4873105/ben-hammond
Rodney Brown Jr.,VIRGINIA TECH,271,https://www.espn.com/mens-college-basketball/player/_/id/5037870/rodney-brown-jr
Patrick Wessler,VIRGINIA TECH,247,https://www.espn.com/mens-college-basketball/player/_/id/4838717/patrick-wessler
Ryan Jones Jr.,VIRGINIA TECH,10,https://www.espn.com/mens-college-basketball/player/_/id/5238192/ryan-jones-jr
Conner Venable,VIRGINIA TECH,2,https://www.espn.com/mens-college-basketball/player/_/id/5174573/conner-venable
Connor Serven,VIRGINIA TECH,24,https://www.espn.com/mens-college-basketball/player/_/id/4702097/connor-serven
Peter Carr,VIRGINIA TECH,2,https://www.espn.com/mens-college-basketball/player/_/id/5238191/peter-carr
