Player Name,Team,Minutes Played,Player Link
Isaac McKneely,VIRGINIA,922,https://www.espn.com/mens-college-basketball/player/_/id/4712845/isaac-mckneely
Elijah Saunders,VIRGINIA,649,https://www.espn.com/mens-college-basketball/player/_/id/4870565/elijah-saunders
Andrew Rohde,VIRGINIA,754,https://www.espn.com/mens-college-basketball/player/_/id/5109019/andrew-rohde
Dai Dai Ames,VIRGINIA,632,https://www.espn.com/mens-college-basketball/player/_/id/4845373/dai-dai-ames
Jacob Cofie,VIRGINIA,564,https://www.espn.com/mens-college-basketball/player/_/id/4873219/jacob-cofie
Blake Buchanan,VIRGINIA,592,https://www.espn.com/mens-college-basketball/player/_/id/5079838/blake-buchanan
Taine Murray,VIRGINIA,492,https://www.espn.com/mens-college-basketball/player/_/id/4692906/taine-murray
Ishan Sharma,VIRGINIA,352,https://www.espn.com/mens-college-basketball/player/_/id/5183809/ishan-sharma
Anthony Robinson,VIRGINIA,206,https://www.espn.com/mens-college-basketball/player/_/id/5143921/anthony-robinson
TJ Power,VIRGINIA,221,https://www.espn.com/mens-college-basketball/player/_/id/4684843/tj-power
Desmond Roberts,VIRGINIA,7,https://www.espn.com/mens-college-basketball/player/_/id/5174572/desmond-roberts
Eli Bennett,VIRGINIA,2,https://www.espn.com/mens-college-basketball/player/_/id/4897460/eli-bennett
Bryce Walker,VIRGINIA,6,https://www.espn.com/mens-college-basketball/player/_/id/5185256/bryce-walker
Markus Rouse,VIRGINIA,0,https://www.espn.com/mens-college-basketball/player/_/id/5260268/markus-rouse
