Player Name,Team,Minutes Played,Player Link
Rickey Bradley Jr.,VMI,972,https://www.espn.com/mens-college-basketball/player/_/id/5107351/rickey-bradley-jr
Augustinas Kiudulas,VMI,749,https://www.espn.com/mens-college-basketball/player/_/id/5176346/augustinas-kiudulas
TJ Johnson,VMI,907,https://www.espn.com/mens-college-basketball/player/_/id/5107076/tj-johnson
Tan Yildizoglu,VMI,759,https://www.espn.com/mens-college-basketball/player/_/id/5176530/tan-yildizoglu
Linus Holmstrom,VMI,614,https://www.espn.com/mens-college-basketball/player/_/id/5243263/linus-holmstrom
Walker Andrews,VMI,157,https://www.espn.com/mens-college-basketball/player/_/id/5176337/walker-andrews
AJ Clark,VMI,545,https://www.espn.com/mens-college-basketball/player/_/id/5176334/aj-clark
Kaden Stuckey,VMI,375,https://www.espn.com/mens-college-basketball/player/_/id/5243264/kaden-stuckey
Robert Peters,VMI,231,https://www.espn.com/mens-college-basketball/player/_/id/5176339/robert-peters
Jaylen Pazon,VMI,130,https://www.espn.com/mens-college-basketball/player/_/id/5243265/jaylen-pazon
Maurice Wright Jr.,VMI,90,https://www.espn.com/mens-college-basketball/player/_/id/5176338/maurice-wright-jr
Cyprian Hyde,VMI,53,https://www.espn.com/mens-college-basketball/player/_/id/5176499/cyprian-hyde
Cal Liston,VMI,243,https://www.espn.com/mens-college-basketball/player/_/id/5243262/cal-liston
