Player Name,Team,Minutes Played,Player Link
Cedric Coward,WASHINGTON STATE,198,https://www.espn.com/mens-college-basketball/player/_/id/4903027/cedric-coward
Nate Calmese,WASHINGTON STATE,878,https://www.espn.com/mens-college-basketball/player/_/id/5108081/nate-calmese
LeJuan Watts,WASHINGTON STATE,914,https://www.espn.com/mens-college-basketball/player/_/id/5107312/lejuan-watts
Dane Erikstrup,WASHINGTON STATE,786,https://www.espn.com/mens-college-basketball/player/_/id/5107314/dane-erikstrup
Ethan Price,WASHINGTON STATE,893,https://www.espn.com/mens-college-basketball/player/_/id/4897852/ethan-price
Isaiah Watts,WASHINGTON STATE,557,https://www.espn.com/mens-college-basketball/player/_/id/5174970/isaiah-watts
ND Okafor,WASHINGTON STATE,373,https://www.espn.com/mens-college-basketball/player/_/id/5105588/nd-okafor
Tomas Thrastarson,WASHINGTON STATE,524,https://www.espn.com/mens-college-basketball/player/_/id/5241071/tomas-thrastarson
Rihards Vavers,WASHINGTON STATE,131,https://www.espn.com/mens-college-basketball/player/_/id/5177139/rihards-vavers
Marcus Wilson,WASHINGTON STATE,29,https://www.espn.com/mens-college-basketball/player/_/id/5241070/marcus-wilson
Kase Wynott,WASHINGTON STATE,296,https://www.espn.com/mens-college-basketball/player/_/id/5241074/kase-wynott
Parker Gerrits,WASHINGTON STATE,241,https://www.espn.com/mens-college-basketball/player/_/id/5117606/parker-gerrits
Tayon Sessoms,WASHINGTON STATE,6,https://www.espn.com/mens-college-basketball/player/_/id/5241072/tayon-sessoms
