Player Name,Team,Minutes Played,Player Link
Blaise Threatt,WEBER STATE,928,https://www.espn.com/mens-college-basketball/player/_/id/5175396/blaise-threatt
Miguel Tomley,WEBER STATE,561,https://www.espn.com/mens-college-basketball/player/_/id/4433104/miguel-tomley
Dyson Koehler,WEBER STATE,671,https://www.espn.com/mens-college-basketball/player/_/id/4702350/dyson-koehler
Viljami Vartiainen,WEBER STATE,703,https://www.espn.com/mens-college-basketball/player/_/id/5175397/viljami-vartiainen
Trevor Hennig,WEBER STATE,550,https://www.espn.com/mens-college-basketball/player/_/id/5241316/trevor-hennig
Vasilije Vucinic,WEBER STATE,493,https://www.espn.com/mens-college-basketball/player/_/id/4897191/vasilije-vucinic
Nigel Burris,WEBER STATE,642,https://www.espn.com/mens-college-basketball/player/_/id/5107824/nigel-burris
Alex Tew,WEBER STATE,494,https://www.espn.com/mens-college-basketball/player/_/id/4897981/alex-tew
Nemanja Sarenac,WEBER STATE,104,https://www.espn.com/mens-college-basketball/player/_/id/5175399/nemanja-sarenac
Andrew Younan,WEBER STATE,22,https://www.espn.com/mens-college-basketball/player/_/id/5105427/andrew-younan
Marko Sarenac,WEBER STATE,97,https://www.espn.com/mens-college-basketball/player/_/id/5175398/marko-sarenac
Declan Cutler,WEBER STATE,232,https://www.espn.com/mens-college-basketball/player/_/id/5241318/declan-cutler
Saadiq Moore,WEBER STATE,329,https://www.espn.com/mens-college-basketball/player/_/id/5241317/saadiq-moore
