Player Name,Team,Minutes Played,Player Link
Javon Small,WEST VIRGINIA,975,https://www.espn.com/mens-college-basketball/player/_/id/4781746/javon-small
Tucker DeVries,WEST VIRGINIA,276,https://www.espn.com/mens-college-basketball/player/_/id/4837238/tucker-devries
Amani Hansberry,WEST VIRGINIA,616,https://www.espn.com/mens-college-basketball/player/_/id/4685673/amani-hansberry
Toby Okani,WEST VIRGINIA,795,https://www.espn.com/mens-college-basketball/player/_/id/4700873/toby-okani
Jonathan Powell,WEST VIRGINIA,821,https://www.espn.com/mens-college-basketball/player/_/id/5101669/jonathan-powell
Joseph Yesufu,WEST VIRGINIA,423,https://www.espn.com/mens-college-basketball/player/_/id/4431856/joseph-yesufu
Sencire Harris,WEST VIRGINIA,728,https://www.espn.com/mens-college-basketball/player/_/id/5105790/sencire-harris
Eduardo Andre,WEST VIRGINIA,446,https://www.espn.com/mens-college-basketball/player/_/id/4702281/eduardo-andre
KJ Tenner,WEST VIRGINIA,328,https://www.espn.com/mens-college-basketball/player/_/id/5240511/kj-tenner
Jake Auer,WEST VIRGINIA,40,https://www.espn.com/mens-college-basketball/player/_/id/5240512/jake-auer
Haris Elezovic,WEST VIRGINIA,50,https://www.espn.com/mens-college-basketball/player/_/id/5240514/haris-elezovic
Aden Tagaloa-Nelson,WEST VIRGINIA,2,https://www.espn.com/mens-college-basketball/player/_/id/5195758/aden-tagaloa-nelson
