Player Name,Team,Minutes Played,Player Link
Bernard Pelote,WESTERN CAROLINA,766,https://www.espn.com/mens-college-basketball/player/_/id/4711668/bernard-pelote
Cord Stansberry,WESTERN CAROLINA,804,https://www.espn.com/mens-college-basketball/player/_/id/5105455/cord-stansberry
Marcus Kell,WESTERN CAROLINA,652,https://www.espn.com/mens-college-basketball/player/_/id/5107345/marcus-kell
Ice Emery,WESTERN CAROLINA,656,https://www.espn.com/mens-college-basketball/player/_/id/5106598/ice-emery
Brandon Morgan,WESTERN CAROLINA,580,https://www.espn.com/mens-college-basketball/player/_/id/5243267/brandon-morgan
CJ Hyland,WESTERN CAROLINA,549,https://www.espn.com/mens-college-basketball/player/_/id/5243266/cj-hyland
Vernon Collins,WESTERN CAROLINA,482,https://www.espn.com/mens-college-basketball/player/_/id/5107172/vernon-collins
Jamar Livingston,WESTERN CAROLINA,157,https://www.espn.com/mens-college-basketball/player/_/id/5243268/jamar-livingston
Chase McKey,WESTERN CAROLINA,413,https://www.espn.com/mens-college-basketball/player/_/id/4897502/chase-mckey
Kamari Jones,WESTERN CAROLINA,11,https://www.espn.com/mens-college-basketball/player/_/id/5176378/kamari-jones
Fischer Brown,WESTERN CAROLINA,301,https://www.espn.com/mens-college-basketball/player/_/id/5243270/fischer-brown
Cinque Lemon,WESTERN CAROLINA,97,https://www.espn.com/mens-college-basketball/player/_/id/5107344/cinque-lemon
Carson Brown,WESTERN CAROLINA,1,https://www.espn.com/mens-college-basketball/player/_/id/4897565/carson-brown
Brandon White,WESTERN CAROLINA,4,https://www.espn.com/mens-college-basketball/player/_/id/5174666/brandon-white
