Player Name,Team,Minutes Played,Player Link
Don McHenry,WESTERN KENTUCKY,779,https://www.espn.com/mens-college-basketball/player/_/id/4903216/don-mchenry
Babacar Faye,WESTERN KENTUCKY,277,https://www.espn.com/mens-college-basketball/player/_/id/4897000/babacar-faye
Julius Thedford,WESTERN KENTUCKY,395,https://www.espn.com/mens-college-basketball/player/_/id/5242617/julius-thedford
Khristian Lander,WESTERN KENTUCKY,594,https://www.espn.com/mens-college-basketball/player/_/id/4702150/khristian-lander
Tyrone Marshall Jr.,WESTERN KENTUCKY,764,https://www.espn.com/mens-college-basketball/player/_/id/5106841/tyrone-marshall-jr
Enoch Kalambay,WESTERN KENTUCKY,553,https://www.espn.com/mens-college-basketball/player/_/id/5176779/enoch-kalambay
Braxton Bayless,WESTERN KENTUCKY,592,https://www.espn.com/mens-college-basketball/player/_/id/5107792/braxton-bayless
Jalen Jackson,WESTERN KENTUCKY,536,https://www.espn.com/mens-college-basketball/player/_/id/4592869/jalen-jackson
Jack Edelen,WESTERN KENTUCKY,259,https://www.espn.com/mens-college-basketball/player/_/id/5176778/jack-edelen
Blaise Keita,WESTERN KENTUCKY,228,https://www.espn.com/mens-college-basketball/player/_/id/5105826/blaise-keita
Leeroy Odiahi,WESTERN KENTUCKY,373,https://www.espn.com/mens-college-basketball/player/_/id/5176572/leeroy-odiahi
Tyler Olden,WESTERN KENTUCKY,9,https://www.espn.com/mens-college-basketball/player/_/id/4897694/tyler-olden
Jaylen Dorsey,WESTERN KENTUCKY,64,https://www.espn.com/mens-college-basketball/player/_/id/5106840/jaylen-dorsey
