Player Name,Team,Minutes Played,Player Link
Chansey Willis Jr.,WESTERN MICHIGAN,586,https://www.espn.com/mens-college-basketball/player/_/id/5243095/chansey-willis-jr
JaVaughn Hannah,WESTERN MICHIGAN,691,https://www.espn.com/mens-college-basketball/player/_/id/5107997/javaughn-hannah
Markhi Strickland,WESTERN MICHIGAN,800,https://www.espn.com/mens-college-basketball/player/_/id/4432494/markhi-strickland
Owen Lobsinger,WESTERN MICHIGAN,591,https://www.espn.com/mens-college-basketball/player/_/id/4898347/owen-lobsinger
Donovan Williams,WESTERN MICHIGAN,596,https://www.espn.com/mens-college-basketball/player/_/id/4432255/donovan-williams
Max Burton,WESTERN MICHIGAN,575,https://www.espn.com/mens-college-basketball/player/_/id/5107999/max-burton
Brandon Muntu,WESTERN MICHIGAN,494,https://www.espn.com/mens-college-basketball/player/_/id/5176245/brandon-muntu
Marquese Josephs,WESTERN MICHIGAN,188,https://www.espn.com/mens-college-basketball/player/_/id/5177712/marquese-josephs
EJ Ryans,WESTERN MICHIGAN,406,https://www.espn.com/mens-college-basketball/player/_/id/5243096/ej-ryans
Seryee Lewis,WESTERN MICHIGAN,178,https://www.espn.com/mens-college-basketball/player/_/id/5243098/seryee-lewis
Michael Sulaka,WESTERN MICHIGAN,182,https://www.espn.com/mens-college-basketball/player/_/id/5176248/michael-sulaka
Josh Thomas,WESTERN MICHIGAN,72,https://www.espn.com/mens-college-basketball/player/_/id/5176247/josh-thomas
Hutch Ward,WESTERN MICHIGAN,18,https://www.espn.com/mens-college-basketball/player/_/id/5243097/hutch-ward
Jack Stefanski,WESTERN MICHIGAN,24,https://www.espn.com/mens-college-basketball/player/_/id/4898350/jack-stefanski
