Player Name,Team,Minutes Played,Player Link
Xavier Bell,WICHITA STATE,734,https://www.espn.com/mens-college-basketball/player/_/id/4612161/xavier-bell
Corey Washington,WICHITA STATE,706,https://www.espn.com/mens-college-basketball/player/_/id/5110039/corey-washington
Justin Hill,WICHITA STATE,620,https://www.espn.com/mens-college-basketball/player/_/id/4702127/justin-hill
Quincy Ballard,WICHITA STATE,668,https://www.espn.com/mens-college-basketball/player/_/id/4683134/quincy-ballard
Harlond Beverly,WICHITA STATE,704,https://www.espn.com/mens-college-basketball/player/_/id/4431701/harlond-beverly
Ronnie DeGray III,WICHITA STATE,324,https://www.espn.com/mens-college-basketball/player/_/id/4701128/ronnie-degray-iii
Bijan Cortes,WICHITA STATE,544,https://www.espn.com/mens-college-basketball/player/_/id/4612129/bijan-cortes
AJ McGinnis,WICHITA STATE,371,https://www.espn.com/mens-college-basketball/player/_/id/4703826/aj-mcginnis
Matej Bosnjak,WICHITA STATE,401,https://www.espn.com/mens-college-basketball/player/_/id/5240409/matej-bosnjak
Joy Ighovodja,WICHITA STATE,89,https://www.espn.com/mens-college-basketball/player/_/id/5175746/joy-ighovodja
Zion Pipkin,WICHITA STATE,67,https://www.espn.com/mens-college-basketball/player/_/id/4873102/zion-pipkin
Henry Thengvall,WICHITA STATE,9,https://www.espn.com/mens-college-basketball/player/_/id/5106651/henry-thengvall
Yanis Bamba,WICHITA STATE,12,https://www.espn.com/mens-college-basketball/player/_/id/5175745/yanis-bamba
