Player Name,Team,Minutes Played,Player Link
Gabe Dorsey,WILLIAM & MARY,765,https://www.espn.com/mens-college-basketball/player/_/id/4683639/gabe-dorsey
Noah Collier,WILLIAM & MARY,428,https://www.espn.com/mens-college-basketball/player/_/id/4432204/noah-collier
Kyle Pulliam,WILLIAM & MARY,373,https://www.espn.com/mens-college-basketball/player/_/id/5242594/kyle-pulliam
Chase Lowe,WILLIAM & MARY,500,https://www.espn.com/mens-college-basketball/player/_/id/5106734/chase-lowe
Matteus Case,WILLIAM & MARY,605,https://www.espn.com/mens-college-basketball/player/_/id/4702958/matteus-case
Caleb Dorsey,WILLIAM & MARY,339,https://www.espn.com/mens-college-basketball/player/_/id/4581505/caleb-dorsey
Keller Boothby,WILLIAM & MARY,726,https://www.espn.com/mens-college-basketball/player/_/id/4702970/keller-boothby
Isaiah Mbeng,WILLIAM & MARY,545,https://www.espn.com/mens-college-basketball/player/_/id/5242592/isaiah-mbeng
Malachi Ndur,WILLIAM & MARY,440,https://www.espn.com/mens-college-basketball/player/_/id/4702983/malachi-ndur
Kyle Frazier,WILLIAM & MARY,441,https://www.espn.com/mens-college-basketball/player/_/id/5193634/kyle-frazier
Luke Kinkade,WILLIAM & MARY,53,https://www.espn.com/mens-college-basketball/player/_/id/5242595/luke-kinkade
Finn Lally,WILLIAM & MARY,145,https://www.espn.com/mens-college-basketball/player/_/id/5242597/finn-lally
Nick Evans,WILLIAM & MARY,17,https://www.espn.com/mens-college-basketball/player/_/id/5106736/nick-evans
Miles Hicks,WILLIAM & MARY,116,https://www.espn.com/mens-college-basketball/player/_/id/5106737/miles-hicks
Ryan Jackson Jr.,WILLIAM & MARY,109,https://www.espn.com/mens-college-basketball/player/_/id/5242596/ryan-jackson-jr
