Player Name,Team,Minutes Played,Player Link
Kelton Talford,WINTHROP,797,https://www.espn.com/mens-college-basketball/player/_/id/4576140/kelton-talford
K.J. Doucet,WINTHROP,717,https://www.espn.com/mens-college-basketball/player/_/id/4906969/kj-doucet
Kasen Harrison,WINTHROP,870,https://www.espn.com/mens-college-basketball/player/_/id/4703629/kasen-harrison
Nick Johnson,WINTHROP,798,https://www.espn.com/mens-college-basketball/player/_/id/4593988/nick-johnson
Paul Jones III,WINTHROP,592,https://www.espn.com/mens-college-basketball/player/_/id/5241759/paul-jones-iii
Bryce Baker,WINTHROP,537,https://www.espn.com/mens-college-basketball/player/_/id/5106463/bryce-baker
Ryan Jolly,WINTHROP,303,https://www.espn.com/mens-college-basketball/player/_/id/4706129/ryan-jolly
Tommy Kamarad,WINTHROP,327,https://www.espn.com/mens-college-basketball/player/_/id/5241760/tommy-kamarad
Logan Duncomb,WINTHROP,145,https://www.espn.com/mens-college-basketball/player/_/id/4682856/logan-duncomb
Yoro Diallo,WINTHROP,183,https://www.espn.com/mens-college-basketball/player/_/id/5107470/yoro-diallo
Tai Hamilton,WINTHROP,215,https://www.espn.com/mens-college-basketball/player/_/id/5176753/tai-hamilton
Isaiah Wilson,WINTHROP,330,https://www.espn.com/mens-college-basketball/player/_/id/4700973/isaiah-wilson
Noah Van Bibber,WINTHROP,39,https://www.espn.com/mens-college-basketball/player/_/id/5177681/noah-van-bibber
Cam Christy,WINTHROP,12,https://www.espn.com/mens-college-basketball/player/_/id/5119172/cam-christy
Henry Harrison,WINTHROP,12,https://www.espn.com/mens-college-basketball/player/_/id/5177682/henry-harrison
