Player Name,Team,Minutes Played,Player Link
John Tonje,WISCONSIN,832,https://www.espn.com/mens-college-basketball/player/_/id/4593043/john-tonje
John Blackwell,WISCONSIN,826,https://www.espn.com/mens-college-basketball/player/_/id/5103630/john-blackwell
Max Klesmit,WISCONSIN,763,https://www.espn.com/mens-college-basketball/player/_/id/4703885/max-klesmit
Nolan Winter,WISCONSIN,586,https://www.espn.com/mens-college-basketball/player/_/id/4895783/nolan-winter
Steven Crowl,WISCONSIN,665,https://www.espn.com/mens-college-basketball/player/_/id/4588201/steven-crowl
Kamari McGee,WISCONSIN,574,https://www.espn.com/mens-college-basketball/player/_/id/4897723/kamari-mcgee
Carter Gilmore,WISCONSIN,485,https://www.espn.com/mens-college-basketball/player/_/id/4702534/carter-gilmore
Xavier Amos,WISCONSIN,270,https://www.espn.com/mens-college-basketball/player/_/id/5108022/xavier-amos
Jack Janicki,WISCONSIN,279,https://www.espn.com/mens-college-basketball/player/_/id/5174807/jack-janicki
Markus Ilver,WISCONSIN,55,https://www.espn.com/mens-college-basketball/player/_/id/4715351/markus-ilver
Riccardo Greppi,WISCONSIN,17,https://www.espn.com/mens-college-basketball/player/_/id/5239655/riccardo-greppi
Jack Robison,WISCONSIN,12,https://www.espn.com/mens-college-basketball/player/_/id/5110430/jack-robison
Camren Hunter,WISCONSIN,14,https://www.espn.com/mens-college-basketball/player/_/id/4897018/camren-hunter
Isaac Gard,WISCONSIN,12,https://www.espn.com/mens-college-basketball/player/_/id/5105863/isaac-gard
Daniel Freitag,WISCONSIN,21,https://www.espn.com/mens-college-basketball/player/_/id/5101672/daniel-freitag
Chris Hodges,WISCONSIN,12,https://www.espn.com/mens-college-basketball/player/_/id/4433615/chris-hodges
Aidan Konop,WISCONSIN,3,https://www.espn.com/mens-college-basketball/player/_/id/5239654/aidan-konop
