Player Name,Team,Minutes Played,Player Link
Corey Tripp,WOFFORD,792,https://www.espn.com/mens-college-basketball/player/_/id/4897355/corey-tripp
Kyler Filewich,WOFFORD,792,https://www.espn.com/mens-college-basketball/player/_/id/4703923/kyler-filewich
Dillon Bailey,WOFFORD,821,https://www.espn.com/mens-college-basketball/player/_/id/4741643/dillon-bailey
Justin Bailey,WOFFORD,765,https://www.espn.com/mens-college-basketball/player/_/id/5107490/justin-bailey
Jackson Sivills,WOFFORD,579,https://www.espn.com/mens-college-basketball/player/_/id/4590401/jackson-sivills
Jeremy Lorenz,WOFFORD,640,https://www.espn.com/mens-college-basketball/player/_/id/5176418/jeremy-lorenz
Anthony Arrington Jr.,WOFFORD,427,https://www.espn.com/mens-college-basketball/player/_/id/5107325/anthony-arrington-jr
Kahmare Holmes,WOFFORD,295,https://www.espn.com/mens-college-basketball/player/_/id/5243278/kahmare-holmes
Luke Flynn,WOFFORD,556,https://www.espn.com/mens-college-basketball/player/_/id/5243276/luke-flynn
Belal El Shakery,WOFFORD,84,https://www.espn.com/mens-college-basketball/player/_/id/5176417/belal-el-shakery
Don Douglass,WOFFORD,14,https://www.espn.com/mens-college-basketball/player/_/id/5176416/don-douglass
Cannon Richards,WOFFORD,85,https://www.espn.com/mens-college-basketball/player/_/id/5243277/cannon-richards
