Player Name,Team,Minutes Played,Player Link
Zach Freemantle,XAVIER,745,https://www.espn.com/mens-college-basketball/player/_/id/4432869/zach-freemantle
Ryan Conwell,XAVIER,880,https://www.espn.com/mens-college-basketball/player/_/id/5107157/ryan-conwell
Dailyn Swain,XAVIER,763,https://www.espn.com/mens-college-basketball/player/_/id/4848625/dailyn-swain
Dayvion McKnight,XAVIER,891,https://www.espn.com/mens-college-basketball/player/_/id/4574710/dayvion-mcknight
Marcus Foster,XAVIER,721,https://www.espn.com/mens-college-basketball/player/_/id/4431953/marcus-foster
Dante Maddox Jr.,XAVIER,504,https://www.espn.com/mens-college-basketball/player/_/id/4702487/dante-maddox-jr
Jerome Hunter,XAVIER,517,https://www.espn.com/mens-college-basketball/player/_/id/4397011/jerome-hunter
Trey Green,XAVIER,99,https://www.espn.com/mens-college-basketball/player/_/id/4711258/trey-green
John Hugley IV,XAVIER,273,https://www.espn.com/mens-college-basketball/player/_/id/4432897/john-hugley-iv
Cam Fletcher,XAVIER,44,https://www.espn.com/mens-college-basketball/player/_/id/4432182/cam-fletcher
Brad Colbert,XAVIER,6,https://www.espn.com/mens-college-basketball/player/_/id/4701317/brad-colbert
Ian Sabourin,XAVIER,3,https://www.espn.com/mens-college-basketball/player/_/id/5105609/ian-sabourin
Michael Wolf,XAVIER,1,https://www.espn.com/mens-college-basketball/player/_/id/5105608/michael-wolf
Bob Nunge,XAVIER,1,https://www.espn.com/mens-college-basketball/player/_/id/5105610/bob-nunge
Henry Thole,XAVIER,1,https://www.espn.com/mens-college-basketball/player/_/id/5240541/henry-thole
